LfdNr;Name;Typ;Beschreibung;Startzeit;Endzeit;Dauer;Fval_Opt;Fval_Text;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Leistung_fval;Leistung_phys;Antriebskraft_fval;Antriebskraft_phys;Materialspannung_fval;Materialspannung_phys;Kondition_fval;Kondition_phys;Manip_fval;Manip_physval;MinSingVal_fval;MinSingVal_physval;Positionsfehler_fval;Positionsfehler_phys;Gelenkbereich_fval;Gelenkbereich_phys;Gelenkgrenze_fval;Gelenkgrenze_phys;AntrGeschw_fval;AntrGeschw_phys;KinLaenge_fval;KinLaenge_phys;Bauraum_fval;Bauraum_phys;Footprint_fval;Footprint_phys;CollDist_fval;CollDist_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;num_succ;num_fail;comptime_sum
;;;;;;;Zielfunktion der Optimierung;;(normiert);in kg;(normiert);in J;(normiert);in W;(normiert);in N bzw. Nm;(normiert);"Ausnutzung der Materialgrenzen; 1=max";(normiert);in Einheiten der Jacobi;(normiert);in Einh. von J;(normiert);in Einh. von J;(normiert);in µm;(normiert);in Grad;(normiert);in Grad;(normiert);in rad/s bzw. m/s;(normiert);in mm;(normiert);in m³;(normiert);in m²;(normiert);in mm;transl., normiert;in mm/N;in N/mm;;;Rechenzeit der Fitness-Auswertungen
1;P6RRRRRR10V3G2P1A1;2;6RRRS;08.01.2023 23:41:10;09.01.2023 04:39:55;59.773647;2031125838.0148;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;2102;17820.495032
2;P6RRRRRR10V3G2P4A1;2;6RRRS;08.01.2023 23:41:10;09.01.2023 04:39:50;178.760902;617.652280036648;i.O.;31.3729273833764;4.932041151221;502.295568484957;100.723787128471;477.173897242726;93.0743215050955;137.921387271576;22.0100757078323;14.2589526074813;14.2589526074813;174.738299019212;279.138721391259;122.805970310846;1.95332074140976;572.108523883355;12.56711536163;772.404022437346;401.542755965441;347.124796929254;0.727016474607861;1382.4560647106;1.3824560647106;729.194503037684;4.41460753918948;985.840949800687;7492.43757576187;809.982095259701;0.325022553848756;878.947246641157;0.519549122846222;90.1716621318245;-15.5621508691339;99.6159150184401;0.00165747706553778;603.326598474255;2;2687;17874.7506
3;P6RRRRRR10V3G6P1A1;2;6RRRS;08.01.2023 23:41:10;09.01.2023 04:39:46;103.524892;510.640056298527;i.O.;30.9700683144828;4.86860823684746;477.875461353392;93.2801998094061;141.416000170482;22.5863028814173;80.1561421417631;12.6578567926365;6.43866395685526;6.43866395685526;144.932851462312;102.876400440266;8.87992049494327;0.139494511848938;321.684136470669;5.53204643489866;633.050711505532;230.755406724087;292.005729529255;0.611575369796824;3140.94465923771;3.14094465923771;467.884473624738;1.8077476275017;983.879553129082;6580.50099001598;684.04993208728;0.184672506396333;802.684349993767;0.312242083384375;90.923286217242;-14.3550712434527;99.8211171619137;0.00355885507916701;280.989244505584;36;1226;17824.876149
4;P6RRRRRR10V3G6P4A1;2;6RRRS;08.01.2023 23:41:10;09.01.2023 04:39:50;132.468471;497.25199825604;i.O.;29.2354477512439;4.59552437301832;448.79896963016;85.082318759387;123.704627302905;19.6797945736142;80.4512427314963;12.7049565464831;5.58342334866227;5.58342334866227;119.455541178378;44.5886714500869;8.54003251545909;0.134154564323219;227.21590504493;3.72879046736953;441.83108239915;124.819233298902;386.401580784221;0.809277578351461;2426.50292029733;2.42650292029733;427.219281818062;1.58800911694452;984.085470218561;6665.68184901103;729.683583656857;0.221182272016639;862.849375793091;0.45697212045499;95.4468294443836;-7.16432354098296;98.9612705040286;0.000612828729399131;1631.77728462646;6;1664;17776.840391
5;P6RRRRRR10V6G2P1A1;2;6RUS;08.01.2023 23:41:10;09.01.2023 04:39:54;37.786922;500000000;Traj.-IK Fehler (Sing. Beinkette);NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;2678;17771.891069
6;P6RRRRRR10V6G2P4A1;2;6RUS;08.01.2023 23:41:10;09.01.2023 04:39:45;186.324708;583.07113863887;i.O.;31.6719314008546;4.97912393501035;527.698340663936;109.103515205709;202.067564955338;32.8514096582355;53.8046301084283;8.47179240955184;4.68030181996438;4.68030181996438;164.004496271327;194.307977799357;126.789628724725;2.01836378349663;551.981170171523;11.7825481333704;665.704649984618;258.903307995817;463.906242587749;1.45740444366812;3385.18697072239;3.38518697072239;710.490538945626;4.09048277120035;984.918246862554;7033.89348164944;772.547457124456;0.267879268704373;846.367937222765;0.406303937488961;94.4178917171555;-8.79089606643832;99.4259909519933;0.00110904614242209;901.675738951726;40;1828;17796.392339
7;P6RRRRRR10V6G6P1A1;2;6RUS;08.01.2023 23:41:10;09.01.2023 04:39:43;100.413795;540.842022347703;i.O.;35.1500551022996;5.52697528606943;544.625999776107;115.103121189827;193.946868801091;31.4439709956779;88.1058494448049;13.928676083841;8.93297625919491;8.93297625919491;145.740272008601;105.663920187638;18.5000487534283;0.290679914610227;303.845458580102;5.17157658552416;453.629132736508;129.598200449428;302.922006261216;0.634438366320611;2650.48146216932;2.65048146216932;546.395731574263;2.31502972240434;988.024486024043;8858.97508639839;799.54952718135;0.307028954398773;864.877756450062;0.464047253403994;95.3735872103938;-7.27997227265381;98.7350330526188;0.00050320365150517;1987.26697830754;192;236;17665.650332
8;P6RRRRRR10V6G6P4A1;2;6RUS;08.01.2023 23:41:10;09.01.2023 04:39:55;169.128335;538.024444867139;i.O.;26.3379308356878;4.13951450600372;455.999485013468;87.0511741864048;98.7021891557854;15.6295375965211;36.6199499226502;5.75860110636243;2.68186157642372;2.68186157642372;142.398893072827;94.6064497629044;43.3953448248158;0.682710214782926;356.204172288851;6.26286919541922;387.977471425448;104.711414564467;303.976860484888;0.954971471760615;2295.91625183583;2.29591625183583;596.881867701633;2.7245999574385;980.571516977134;5459.52831756708;647.964963670508;0.162020335522768;832.470770462796;0.371192617673834;93.9471369609965;-9.53656875989237;99.6399294698816;0.0017680230138368;565.603497337908;48;2242;17847.476561
9;P6RRRRRR5V2G2P2A1;2;6RURU;08.01.2023 23:43:09;09.01.2023 04:40:29;53.434011;2147936213.28873;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1032;17709.77165
