LfdNr;Name;Typ;Beschreibung;Startzeit;Endzeit;Dauer;Fval_Opt;Fval_Text;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Leistung_fval;Leistung_phys;Antriebskraft_fval;Antriebskraft_phys;Materialspannung_fval;Materialspannung_phys;Kondition_fval;Kondition_phys;Manip_fval;Manip_physval;MinSingVal_fval;MinSingVal_physval;Positionsfehler_fval;Positionsfehler_phys;Gelenkbereich_fval;Gelenkbereich_phys;Gelenkgrenze_fval;Gelenkgrenze_phys;AntrGeschw_fval;AntrGeschw_phys;KinLaenge_fval;KinLaenge_phys;Bauraum_fval;Bauraum_phys;Footprint_fval;Footprint_phys;CollDist_fval;CollDist_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;num_succ;num_fail;comptime_sum
;;;;;;;Zielfunktion der Optimierung;;(normiert);in kg;(normiert);in J;(normiert);in W;(normiert);in N bzw. Nm;(normiert);"Ausnutzung der Materialgrenzen; 1=max";(normiert);in Einheiten der Jacobi;(normiert);in Einh. von J;(normiert);in Einh. von J;(normiert);in µm;(normiert);in Grad;(normiert);in Grad;(normiert);in rad/s bzw. m/s;(normiert);in mm;(normiert);in m³;(normiert);in m²;(normiert);in mm;transl., normiert;in mm/N;in N/mm;;;Rechenzeit der Fitness-Auswertungen
1;P6RRRRRR10V3G2P1A1;2;6RRRS;08.01.2023 23:40:29;09.01.2023 04:38:55;30.377073;2031125838.0148;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1501;17791.759584
2;P6RRRRRR10V3G2P4A1;2;6RRRS;08.01.2023 23:40:29;09.01.2023 04:38:22;31.754292;2082885353.88054;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1601;17874.368998
3;P6RRRRRR10V3G6P1A1;2;6RRRS;08.01.2023 23:40:29;09.01.2023 04:38:43;77.766269;208.866018164755;i.O.;35.1241714512823;5.52289708086988;487.834973289452;96.2494559547161;202.446150257199;32.9173084609956;147.217456580862;23.5460842588288;15.0471110213725;15.0471110213725;142.66365201921;95.4377848079341;2.79495579320293;0.0439033450114443;238.204986940286;3.92670039674421;568.054273339458;186.062334818618;328.053200953803;0.687073017402055;3048.44908997959;3.04844908997959;389.852780243503;1.40493269873967;988.289555390979;9059.54738892323;763.7238535129;0.256952358384748;822.653468880813;0.349635154590099;89.5278176699013;-16.5996605626018;99.6324275468801;0.00173193799652573;577.387875320019;23;817;17634.680684
4;P6RRRRRR10V3G6P4A1;2;6RRRS;08.01.2023 23:40:29;09.01.2023 04:38:04;56.090727;2009070915.63958;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1291;17764.949035
5;P6RRRRRR10V6G2P1A1;2;6RUS;08.01.2023 23:40:29;09.01.2023 04:38:08;46.799842;2021819287.41376;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1801;17541.839046
6;P6RRRRRR10V6G2P4A1;2;6RUS;08.01.2023 23:40:29;09.01.2023 04:38:40;61.861499;306.159477567052;i.O.;31.7216703269391;4.98695630740179;527.322778048696;108.974382013111;330.493093195389;57.1416927965177;74.2640347341282;11.7185713328826;6.08964387642877;6.08964387642877;182.310548682893;361.165192563293;508.218125546377;10.2615711809451;613.026258920591;14.3733156045903;674.675915385314;267.524728981353;507.541578027409;1.59448889292228;3147.4537085439;3.1474537085439;752.206710455096;4.87616546192599;984.927909545814;7038.40458204863;818.851597325929;0.341898983759603;868.696707165608;0.477952167654429;92.0076875119323;-12.6206698016911;99.4826571247907;0.0012305296719504;812.658177039316;18;1583;17679.220438
7;P6RRRRRR10V6G6P1A1;2;6RUS;08.01.2023 23:40:29;09.01.2023 04:38:16;107.716117;238.807831821645;i.O.;35.5463678825659;5.58942027468085;549.610041359565;116.939832931102;148.228633033734;23.7137884582979;62.0318470388411;9.7748950518982;5.76537897324256;5.76537897324256;134.483776604037;72.8877763765247;37.3965752495164;0.588100633084448;318.604345288918;5.46903218956317;401.901046718802;109.667235586476;391.321267661349;0.819581346452225;2928.24526891189;2.92824526891189;571.584970732824;2.50918500345325;987.692540629051;8619.9818586618;811.140063883588;0.327138473159907;871.459477415634;0.488519034661962;82.80667769327;-27.6835733279525;98.9770860430137;0.000622305502983813;1606.92777937079;114;115;17940.395719
8;P6RRRRRR10V6G6P4A1;2;6RUS;08.01.2023 23:40:29;09.01.2023 04:38:53;70.487197;246.741738016668;i.O.;30.3908828303738;4.77741835885292;503.863793856807;101.221273830715;114.514215782416;18.1844018427758;41.1190167600661;6.46795692779176;3.47085769185756;3.47085769185756;140.493424410377;88.8374574393371;59.6000583835725;0.938940283846168;370.536297581047;6.5808379601356;376.174281782451;100.627502554502;324.302302186149;1.01882573009026;2622.5039972682;2.6225039972682;607.222048549944;2.81947930083463;985.289237342393;7211.34669618189;750.753449369797;0.242231827277523;838.320977863926;0.385253213807653;91.884148739995;-12.8178635144263;99.5505126272078;0.0014163005061651;706.0648468648;37;1364;17760.776327
9;P6RRRRRR5V2G2P2A1;2;6RURU;08.01.2023 23:41:46;09.01.2023 04:39:28;34.49879;2199746894.96967;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;724;17674.621428
