LfdNr;Name;Typ;Beschreibung;Startzeit;Endzeit;Dauer;Fval_Opt;Fval_Text;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Leistung_fval;Leistung_phys;Antriebskraft_fval;Antriebskraft_phys;Materialspannung_fval;Materialspannung_phys;Kondition_fval;Kondition_phys;Manip_fval;Manip_physval;MinSingVal_fval;MinSingVal_physval;Positionsfehler_fval;Positionsfehler_phys;Gelenkbereich_fval;Gelenkbereich_phys;Gelenkgrenze_fval;Gelenkgrenze_phys;AntrGeschw_fval;AntrGeschw_phys;KinLaenge_fval;KinLaenge_phys;Bauraum_fval;Bauraum_phys;Footprint_fval;Footprint_phys;CollDist_fval;CollDist_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;num_succ;num_fail;comptime_sum
;;;;;;;Zielfunktion der Optimierung;;(normiert);in kg;(normiert);in J;(normiert);in W;(normiert);in N bzw. Nm;(normiert);"Ausnutzung der Materialgrenzen; 1=max";(normiert);in Einheiten der Jacobi;(normiert);in Einh. von J;(normiert);in Einh. von J;(normiert);in µm;(normiert);in Grad;(normiert);in Grad;(normiert);in rad/s bzw. m/s;(normiert);in mm;(normiert);in m³;(normiert);in m²;(normiert);in mm;transl., normiert;in mm/N;in N/mm;;;Rechenzeit der Fitness-Auswertungen
1;P6RRRRRR10V3G2P1A1;2;6RRRS;08.01.2023 23:36:34;09.01.2023 04:34:29;34.452191;2031125838.0148;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1553;17792.677209
2;P6RRRRRR10V3G2P4A1;2;6RRRS;08.01.2023 23:36:34;09.01.2023 04:34:26;35.695173;2078403786.0315;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1669;17780.667283
3;P6RRRRRR10V3G6P1A1;2;6RRRS;08.01.2023 23:36:35;09.01.2023 04:34:28;79.30607;460.150644663511;i.O.;33.6646271019849;5.29296179011733;476.190914229373;92.7865683926389;182.461159473103;29.4723883247372;125.485991568694;19.9706086366912;14.3709201509176;14.3709201509176;154.794687831791;142.761913788269;4.7234426186167;0.0741970246710124;271.521963028303;4.54398508300675;413.831597586315;114.04134744212;266.123759850163;0.557368299260644;2250.81180215254;2.25081180215254;404.704411081399;1.47578818757626;987.272043946893;8335.12917020961;723.08902625915;0.21521525721247;850.261531340439;0.417285098650294;97.1133780335914;-4.53740521773718;99.6786121094202;0.00198082872054988;504.83920675504;21;963;17690.676781
4;P6RRRRRR10V3G6P4A1;2;6RRRS;08.01.2023 23:36:34;09.01.2023 04:34:24;56.847098;2009070915.63958;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1312;17709.213457
5;P6RRRRRR10V6G2P1A1;2;6RUS;08.01.2023 23:36:34;09.01.2023 04:34:11;34.595506;2013762238.48901;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1936;17663.197037
6;P6RRRRRR10V6G2P4A1;2;6RUS;08.01.2023 23:36:34;09.01.2023 04:33:57;92.338508;561.371650271317;i.O.;31.5096074812945;4.95356326403443;525.435669459068;108.328023131654;381.948110670441;68.408203597348;100.601357950804;15.9352892523957;7.6793171300582;7.6793171300582;191.265530716401;490.954119565762;241.453334801142;3.98571159389683;560.671032910897;12.1138988148981;722.226412066177;321.681565447176;439.679486733875;1.38129384545727;3147.11033286405;3.14711033286405;722.441570616409;4.2928749214304;984.716972865693;6941.22380149943;801.753299802695;0.310677123078161;861.072022246738;0.450939817824925;94.5789459015807;-8.53601383450596;99.6520762716276;0.00182974997744973;546.522755744903;22;1754;17691.184727
7;P6RRRRRR10V6G6P1A1;2;6RUS;08.01.2023 23:36:35;09.01.2023 04:33:48;74.181608;486.299165699389;i.O.;34.751662527774;5.46420692558376;540.487187618657;113.602873060085;131.643258206167;20.9783413202829;60.0719525358526;9.4641865093374;5.25804560819613;5.25804560819613;137.306740278901;79.9798146376442;18.1819900662617;0.285679711228098;299.813380923046;5.09156260032731;423.257844419655;117.586304261569;314.320937179008;0.987468347111031;2806.28219669024;2.80628219669024;544.95290532875;2.30445148998979;987.778947176276;8680.94287765812;788.257991907289;0.28948880751806;853.872639233563;0.427982677289804;90.1456052707527;-15.6040748089915;99.1152905592556;0.000719534301185848;1389.78780907585;112;180;17703.660953
8;P6RRRRRR10V6G6P4A1;2;6RUS;08.01.2023 23:36:34;09.01.2023 04:34:26;46.865394;524.150462522741;i.O.;24.1383755422342;3.79346524083487;423.01899758461;78.330314065221;173.818054345564;28.0025944548371;48.4368657378074;7.62316051966397;4.00330092491546;4.00330092491546;142.824659620526;95.9469895501673;251.965706852141;4.17835701495968;461.203259069382;8.8498334133603;267.474177407578;67.0124129861883;567.769084920067;1.18913279074685;3111.98573550605;3.11198573550605;682.593675625703;3.6733575769009;976.297908162145;4474.46859275317;633.098814957152;0.153862378898576;841.420846204706;0.393114634670287;89.2865633774267;-16.9893111311554;99.360779304775;0.00099589763374541;1004.11926498827;41;1224;17547.694855
9;P6RRRRRR5V2G2P2A1;2;6RURU;08.01.2023 23:37:04;09.01.2023 04:34:00;32.514342;2244056707.63793;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;789;17738.584803
