LfdNr;Name;Typ;Beschreibung;Startzeit;Endzeit;Dauer;Fval_Opt;Fval_Text;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Leistung_fval;Leistung_phys;Antriebskraft_fval;Antriebskraft_phys;Materialspannung_fval;Materialspannung_phys;Kondition_fval;Kondition_phys;Manip_fval;Manip_physval;MinSingVal_fval;MinSingVal_physval;Positionsfehler_fval;Positionsfehler_phys;Gelenkbereich_fval;Gelenkbereich_phys;Gelenkgrenze_fval;Gelenkgrenze_phys;AntrGeschw_fval;AntrGeschw_phys;KinLaenge_fval;KinLaenge_phys;Bauraum_fval;Bauraum_phys;Footprint_fval;Footprint_phys;CollDist_fval;CollDist_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;num_succ;num_fail;comptime_sum
;;;;;;;Zielfunktion der Optimierung;;(normiert);in kg;(normiert);in J;(normiert);in W;(normiert);in N bzw. Nm;(normiert);"Ausnutzung der Materialgrenzen; 1=max";(normiert);in Einheiten der Jacobi;(normiert);in Einh. von J;(normiert);in Einh. von J;(normiert);in µm;(normiert);in Grad;(normiert);in Grad;(normiert);in rad/s bzw. m/s;(normiert);in mm;(normiert);in m³;(normiert);in m²;(normiert);in mm;transl., normiert;in mm/N;in N/mm;;;Rechenzeit der Fitness-Auswertungen
1;P6RRRRRR10V3G2P1A1;2;6RRRS;08.01.2023 23:42:57;09.01.2023 04:39:04;58.452905;2031125838.0148;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1174;17647.86819
2;P6RRRRRR10V3G2P4A1;2;6RRRS;08.01.2023 23:42:57;09.01.2023 04:39:08;21.755432;2121373315.4165;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1229;17624.708858
3;P6RRRRRR10V3G6P1A1;2;6RRRS;08.01.2023 23:42:57;09.01.2023 04:39:11;140.110791;427.507304844307;i.O.;33.1554721900862;5.21276323989489;485.494714279551;95.5437929294284;175.991200587099;28.3710724728691;86.25510829752;13.632441383135;8.98581321399138;8.98581321399138;131.386056758568;65.8403685227794;23.002735319756;0.361483448618108;323.990790738601;5.57946305664583;479.33074351832;140.562921623153;270.465663300716;0.566461960582546;3131.22888697911;3.13122888697911;512.801543716126;2.08209638185622;985.956787499493;7554.26045534586;683.465262519275;0.184268142965164;795.576818228335;0.300644615628624;91.0854939610409;-14.0951199145436;99.4885971416788;0.00124482307464749;803.327011176413;12;811;17627.092038
4;P6RRRRRR10V3G6P4A1;2;6RRRS;08.01.2023 23:42:57;09.01.2023 04:39:06;112.126108;2009070915.63958;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1101;17773.000264
5;P6RRRRRR10V6G2P1A1;2;6RUS;08.01.2023 23:42:57;09.01.2023 04:39:19;43.700722;2025925539.43719;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1422;17587.566751
6;P6RRRRRR10V6G2P4A1;2;6RUS;08.01.2023 23:42:57;09.01.2023 04:39:27;147.282165;542.310216400677;i.O.;31.7968723614815;4.99879846307061;527.36973739171;108.990519396645;369.875374578181;65.659702874571;96.0548729028077;15.2038141436627;7.3759734518289;7.3759734518289;189.767736954185;466.294284750142;271.175219541059;4.53741546422818;566.618592020088;12.3470649992246;732.676714856612;335.972491970234;426.252586183964;1.33911199332919;3147.81331064282;3.14781331064282;723.896667039084;4.31863361746892;984.993253754514;7069.06349394465;806.97910926014;0.319650068074793;862.302872566391;0.455100980080791;94.4784514852665;-8.69504185151616;99.6583595557182;0.00186340250886799;536.652706670175;13;1442;17631.534637
7;P6RRRRRR10V6G6P1A1;2;6RUS;08.01.2023 23:42:57;09.01.2023 04:39:24;294.98331;465.92376320234;i.O.;34.3168465564189;5.39570480912575;534.332967230716;111.412567094593;134.931780823092;21.5182244224033;56.9616194711914;8.97146428263426;5.19336542957856;5.19336542957856;131.06875364285;65.1589018435874;30.4019422835862;0.477915954011801;318.839930636972;5.47384057979795;402.634958434325;109.932816248274;345.582354295067;1.08567898546365;1969.09283377842;1.96909283377842;567.557678305001;2.47687444242204;987.368704418991;8398.93034068627;773.251991830828;0.268786773717347;852.014991091814;0.422415535526333;91.7363713221901;-13.0538761979417;99.3111422814861;0.000924131223321975;1082.09740647578;92;6;17666.776315
8;P6RRRRRR10V6G6P4A1;2;6RUS;08.01.2023 23:42:57;09.01.2023 04:39:09;125.282726;443.522870721347;i.O.;24.4976994308221;3.84999014438155;429.721166690424;80.0432211370039;140.422721075637;22.4223771796712;40.2654789564036;6.33333422773482;3.09622397539087;3.09622397539087;125.676016949304;54.6161710843116;286.061906131589;4.82247471267277;444.919942571981;8.40373231345045;267.560715480543;67.0368740745336;593.848369647225;1.24375311695333;3446.88950601291;3.44688950601291;672.637518911445;3.54037484418233;976.697387348842;4551.24522017877;617.665614296193;0.145991132523472;820.41769802446;0.345047115339299;92.3283611378995;-12.1092544335797;99.1896630387954;0.000785581086103034;1272.94307066456;49;718;17785.36288
9;P6RRRRRR5V2G2P2A1;2;6RURU;08.01.2023 23:43:05;09.01.2023 04:39:06;63.024315;2295196162.92172;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;633;17637.524225
10;P6RRRRRR5V2G2P3A1;2;6RURU;08.01.2023 23:43:05;09.01.2023 04:38:55;23.305167;2589057589.31313;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;633;17456.465471
