LfdNr;Name;Typ;Beschreibung;Startzeit;Endzeit;Dauer;Fval_Opt;Fval_Text;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Leistung_fval;Leistung_phys;Antriebskraft_fval;Antriebskraft_phys;Materialspannung_fval;Materialspannung_phys;Kondition_fval;Kondition_phys;Manip_fval;Manip_physval;MinSingVal_fval;MinSingVal_physval;Positionsfehler_fval;Positionsfehler_phys;Gelenkbereich_fval;Gelenkbereich_phys;Gelenkgrenze_fval;Gelenkgrenze_phys;AntrGeschw_fval;AntrGeschw_phys;KinLaenge_fval;KinLaenge_phys;Bauraum_fval;Bauraum_phys;Footprint_fval;Footprint_phys;CollDist_fval;CollDist_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;num_succ;num_fail;comptime_sum
;;;;;;;Zielfunktion der Optimierung;;(normiert);in kg;(normiert);in J;(normiert);in W;(normiert);in N bzw. Nm;(normiert);"Ausnutzung der Materialgrenzen; 1=max";(normiert);in Einheiten der Jacobi;(normiert);in Einh. von J;(normiert);in Einh. von J;(normiert);in µm;(normiert);in Grad;(normiert);in Grad;(normiert);in rad/s bzw. m/s;(normiert);in mm;(normiert);in m³;(normiert);in m²;(normiert);in mm;transl., normiert;in mm/N;in N/mm;;;Rechenzeit der Fitness-Auswertungen
1;P6RRRRRR10V3G2P1A1;2;6RRRS;08.01.2023 23:42:22;09.01.2023 04:39:14;49.914081;2031125838.0148;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1454;17788.909134
2;P6RRRRRR10V3G2P4A1;2;6RRRS;08.01.2023 23:42:22;09.01.2023 04:39:19;52.028939;2082885353.88054;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1541;17837.130757
3;P6RRRRRR10V3G6P1A1;2;6RRRS;08.01.2023 23:42:22;09.01.2023 04:39:13;96.510247;357.601325805821;i.O.;28.4246649605972;4.46790534605309;443.26298933047;83.5942054532073;179.393041562126;28.9493261406194;123.195750567934;19.5967776396387;14.3903352872244;14.3903352872244;164.111326872542;195.006664310492;9.22043355732719;0.144844359753253;336.596828801209;5.84205667834654;481.196870412229;141.391004693606;344.921083367479;0.722401027717003;3081.79527491804;3.08179527491804;468.411356437301;1.81075745105045;983.380315026549;6382.74373168468;622.257028582348;0.148273582847821;813.058080606112;0.330699160188788;95.7700758580895;-6.65414428861909;99.6209635242951;0.00167955405530038;595.396139138349;8;976;17680.977911
4;P6RRRRRR10V3G6P4A1;2;6RRRS;08.01.2023 23:42:22;09.01.2023 04:39:00;96.984816;2009070915.63958;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1241;17744.747317
5;P6RRRRRR10V6G2P1A1;2;6RUS;08.01.2023 23:42:22;09.01.2023 04:38:34;73.724776;2021819287.41376;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1779;17605.731899
6;P6RRRRRR10V6G2P4A1;2;6RUS;08.01.2023 23:42:22;09.01.2023 04:38:59;167.44727;465.215681798141;i.O.;32.2312554613971;5.06720404452277;529.955974062997;109.883298211969;295.221413841081;50.0106383842022;73.2132870556585;11.5512859150695;6.93388893695462;6.93388893695462;168.878239717372;228.953857275991;281.998017497591;4.744033978211;553.949885953657;11.856675002805;593.459828159772;202.05903618241;483.853612310089;1.52007095384626;3042.60730251562;3.04260730251562;728.973930178993;4.41054151418542;985.483804112556;7308.03764262371;803.799844492121;0.314135992414129;857.507372537167;0.439287897576972;94.5791747204255;-8.53565178789825;99.2276231174175;0.000824194185884094;1213.30630223668;25;1418;17385.260375
7;P6RRRRRR10V6G6P1A1;2;6RUS;08.01.2023 23:42:22;09.01.2023 04:38:48;168.001601;340.281964288678;i.O.;34.7525309621648;5.46434374624603;539.702975758084;113.321107382769;130.841188117678;20.8468424769307;53.4315366329556;8.41276932888575;4.95215680324289;4.95215680324289;129.744335055625;62.3912582256374;41.7903989957108;0.657386585448622;326.394228935018;5.62907361193141;393.063387029636;106.503752651715;389.571084780226;1.22387365799657;2777.78529644928;2.77778529644928;574.350969203442;2.53167489184123;987.304348971853;8356.34416989255;797.724960373149;0.304066702982113;870.763104121286;0.485813596995684;92.1332673829309;-12.4203170313106;99.1775750770079;0.000774033396676976;1291.93391950932;123;278;17820.699845
8;P6RRRRRR10V6G6P4A1;2;6RUS;08.01.2023 23:42:22;09.01.2023 04:39:18;122.836002;322.185317440574;i.O.;31.1013745536782;4.88928286999333;506.919237896662;102.197715573939;103.02608203055;16.3260747753747;41.2488045006165;6.48842949661525;3.40043602986622;3.40043602986622;130.109827666337;63.1428315200385;52.4638892161617;0.825971532258867;341.485598388085;5.94552454170712;352.858278118246;92.8490493372498;267.305187819605;0.83976401432051;1494.3666822781;1.4943666822781;572.448869702861;2.51618281186399;985.964897971019;7558.62725571054;743.514208687087;0.234631420272748;834.416652051894;0.375761611192798;92.1683988477521;-12.3642851924159;98.2953820897439;0.000373378466814169;2678.24764650314;23;1229;17450.776318
9;P6RRRRRR5V2G2P2A1;2;6RURU;08.01.2023 23:41:34;09.01.2023 04:39:12;59.696611;2199746894.96967;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;759;17704.385539
10;P6RRRRRR5V2G2P3A1;2;6RURU;08.01.2023 23:41:34;09.01.2023 04:38:35;50.980336;2081797349.99715;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;861;17620.579368
11;P6RRRRRR5V2G2P5A1;2;6RURU;08.01.2023 23:41:34;09.01.2023 04:39:01;12.467978;2203487961.30342;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1001;17512.060336
12;P6RRRRRR5V2G2P6A1;2;6RURU;08.01.2023 23:41:34;09.01.2023 04:39:11;239.907996;326.186645491595;i.O.;25.3252999058429;3.98018860301838;394.394910422066;71.3175678923504;237.881203362748;39.2083138168403;78.1839030761814;12.3432169460594;5.45036210449445;5.45036210449445;139.309755371342;85.4359554430765;606.084485927797;14.0441499581604;424.12502382422;7.86110275713201;258.103129023024;64.3808432406319;530.937784223987;1.66799024243132;1825.68292106831;1.82568292106831;642.272904375579;3.17650690157865;978.59850005492;4955.88264856702;661.161720294093;0.169797177201931;859.976406358448;0.447296414865618;82.4302103013847;-28.3212985346261;99.9999999999963;173670271.222401;5.75803787810871e-09;15;796;17997.210906
13;P6RRRRRR5V2G6P2A1;2;6RURU;08.01.2023 23:41:34;09.01.2023 04:39:29;133.425775;311.784554803637;i.O.;31.0349258628526;4.87882023590384;446.703984188812;84.5166004066564;230.363811208048;37.8521723806779;143.794401035833;22.9792934433026;10.1204254644428;10.1204254644428;68.942954444523;8.79702738812677;103.140236053434;1.63444845279062;172.659204069081;2.78063885395489;352.943985510605;92.8769835145415;294.817179073169;0.926195483928335;1879.32274428535;1.87932274428535;438.615277864473;1.64722960147019;984.80358739759;6980.80164555215;811.650827024715;0.328079797797036;891.134800826033;0.579066722748086;96.4090002392261;-5.64671938236409;99.9999999999955;139566931.649154;7.16502102742946e-09;8;727;17610.536862
14;P6RRRRRR5V2G6P3A1;2;6RURU;08.01.2023 23:41:34;09.01.2023 04:36:00;327.536768;297.293572391855;i.O.;28.5840636039783;4.49299388945283;410.423652848493;75.1862379143531;177.869076821631;28.6900596114813;86.1332294356447;13.6129414134886;6.27341519141088;6.27341519141088;43.5283407510784;3.93384828444358;524.191575008324;10.7904171144509;230.079540342854;3.78011299945293;282.696567006493;71.3622494295109;525.932139228365;1.6522645448866;1680.62833908106;1.68062833908106;523.050920673956;2.15034256243059;982.126734037561;5934.86476191316;804.687527423734;0.315658080623816;888.208526664591;0.563605321204975;81.0104421668124;-30.7460629797131;99.9999999999924;83160010.0619481;1.20250105700453e-08;31;570;17505.485829
15;P6RRRRRR5V2G6P5A1;2;6RURU;08.01.2023 23:41:34;09.01.2023 04:39:00;176.016376;321.639591706666;i.O.;28.6512404385944;4.50356735367083;421.649793563698;77.9838614661995;213.928257548488;34.9285016568061;132.134807234359;21.058964780497;10.2127276159109;10.2127276159109;106.835641688757;29.6128210160187;101.677899226115;1.61087329469911;233.539506051971;3.84235657199285;367.503385428063;97.69166873229;321.651444605095;1.01049781538791;1831.70673626931;1.83170673626931;465.28058245757;1.7929386691279;982.740913754988;6146.17124134177;754.333021734201;0.246146704090159;861.912977339171;0.453774952121409;97.3200963789575;-4.21207107047632;99.9999999999977;275355594.817471;3.63166762840932e-09;57;184;17813.107917
16;P6RRRRRR5V2G6P6A1;2;6RURU;08.01.2023 23:41:34;09.01.2023 04:39:08;78.790798;2445033063.08431;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1026;17635.124409
17;P6RRRRRR6V2G2P1A1;2;6RUUR;08.01.2023 23:36:24;09.01.2023 04:35:19;35.714987;2517377050.27855;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;2054;17768.009154
