LfdNr;Name;Typ;Beschreibung;Startzeit;Endzeit;Dauer;Fval_Opt;Fval_Text;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Leistung_fval;Leistung_phys;Antriebskraft_fval;Antriebskraft_phys;Materialspannung_fval;Materialspannung_phys;Kondition_fval;Kondition_phys;Manip_fval;Manip_physval;MinSingVal_fval;MinSingVal_physval;Positionsfehler_fval;Positionsfehler_phys;Gelenkbereich_fval;Gelenkbereich_phys;Gelenkgrenze_fval;Gelenkgrenze_phys;AntrGeschw_fval;AntrGeschw_phys;KinLaenge_fval;KinLaenge_phys;Bauraum_fval;Bauraum_phys;Footprint_fval;Footprint_phys;CollDist_fval;CollDist_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;num_succ;num_fail;comptime_sum
;;;;;;;Zielfunktion der Optimierung;;(normiert);in kg;(normiert);in J;(normiert);in W;(normiert);in N bzw. Nm;(normiert);"Ausnutzung der Materialgrenzen; 1=max";(normiert);in Einheiten der Jacobi;(normiert);in Einh. von J;(normiert);in Einh. von J;(normiert);in µm;(normiert);in Grad;(normiert);in Grad;(normiert);in rad/s bzw. m/s;(normiert);in mm;(normiert);in m³;(normiert);in m²;(normiert);in mm;transl., normiert;in mm/N;in N/mm;;;Rechenzeit der Fitness-Auswertungen
1;P6RRRRRR10V3G2P1A1;2;6RRRS;08.01.2023 23:33:33;09.01.2023 08:30:31;46.268754;2028664152.88003;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;2619;32043.640505
2;P6RRRRRR10V3G2P4A1;2;6RRRS;08.01.2023 23:33:33;09.01.2023 08:29:32;120.519492;597.534223790288;i.O.;32.1845023487859;5.05984125338823;503.123605251351;100.986156066427;385.543298560404;69.240434400803;119.473713845928;18.9903566018055;12.6962514545726;12.6962514545726;168.912550344122;229.2190189757;38.5726800943847;0.606640775552824;492.386105426581;9.76361827327106;792.680805525927;444.209308097275;357.484026890245;0.748712795102726;1348.21751087599;1.34821751087599;686.618629301783;3.72930851040052;986.510328223154;7864.34367621259;821.600774369517;0.347460964980676;881.315466508585;0.530167820341943;98.6095095015566;-2.18452476381565;99.6340408087865;0.00173957308705739;574.853685332398;3;3598;31358.150891
3;P6RRRRRR10V3G6P1A1;2;6RRRS;08.01.2023 23:33:34;09.01.2023 08:29:58;89.245225;516.975755469477;i.O.;31.7053932108741;4.984393148555;484.696267770665;95.3041694436952;174.214139585014;28.0697017899191;99.6622121490392;15.7840579729691;7.87923100889592;7.87923100889592;138.337155320408;82.7406997434189;7.73017828362993;0.121431324584894;295.389608747368;5.004367055303;588.336062855682;198.697492497571;287.317207347381;0.601755751901646;3404.02924146824;3.40402924146824;466.570486489056;1.80026103552483;984.694567770336;6931.05887505978;673.224463819992;0.177400467846443;776.973991341931;0.273672135283157;95.5934741904634;-6.93282998161391;99.6424639924201;0.00178055654700347;561.622152176475;43;1487;31935.083174
4;P6RRRRRR10V3G6P4A1;2;6RRRS;08.01.2023 23:33:33;09.01.2023 08:29:57;144.589331;494.680724664724;i.O.;26.7759613624473;4.2084400567943;398.371730707177;72.2641981310166;109.420373109643;17.3589878811973;70.8362997253341;11.1730889340159;4.8814063954173;4.8814063954173;115.088217535213;38.687344085564;16.5491020167311;0.260011257116734;225.684669084894;3.70141812183611;392.581924436194;106.333212127031;445.313329791374;0.93266205694546;2469.3028868618;2.4693028868618;432.113067214202;1.61323044654484;981.092807054636;5610.1451802882;740.547954069895;0.231633160092886;861.595346910708;0.452700131328065;81.9232541209135;-29.1834589898831;98.654201144678;0.000472971822012519;2114.29085932635;17;2113;32246.164974
5;P6RRRRRR10V6G2P1A1;2;6RUS;08.01.2023 23:33:33;09.01.2023 08:30:09;33.454202;500000000;Traj.-IK Fehler (Sing. Beinkette);NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;3234;31987.908793
6;P6RRRRRR10V6G2P4A1;2;6RUS;08.01.2023 23:33:33;09.01.2023 08:30:34;156.382153;583.07113863887;i.O.;31.6719314008546;4.97912393501035;527.698340663936;109.103515205709;202.067564955338;32.8514096582356;53.8046301084285;8.47179240955188;4.68030181996442;4.68030181996442;164.004496271327;194.307977799356;126.789628724724;2.01836378349661;551.981170171523;11.7825481333704;665.704649984618;258.903307995817;463.90624258775;1.45740444366812;3385.18697072239;3.38518697072239;710.490538945626;4.09048277120035;984.918246862554;7033.89348164944;772.547457124357;0.267879268704247;846.367937222764;0.406303937488959;94.4178917171553;-8.79089606643868;99.425932197854;0.00110893262868154;901.768037242211;55;2565;32258.458326
7;P6RRRRRR10V6G6P1A1;2;6RUS;08.01.2023 23:33:33;09.01.2023 08:28:43;71.595292;537.714728722977;i.O.;35.5347167624382;5.58758440519232;545.37442665097;115.37680980677;181.286736769278;29.2719950153162;84.7689450129447;13.394732177102;8.49558593400906;8.49558593400906;136.73705465227;78.493961028656;20.3549779166472;0.319844245789756;291.891087917431;4.93583752533472;428.951567341243;119.767608308212;331.251794368014;1.04065820367499;1998.56562506824;1.99856562506824;540.34239567259;2.27101580596207;988.032845483397;8865.16483760973;801.485690068787;0.310229938019771;869.501026032605;0.480982950319009;98.7109795522044;-2.02506533544848;99.1866913727704;0.000782710420302101;1277.61171189472;232;269;31858.698662
8;P6RRRRRR10V6G6P4A1;2;6RUS;08.01.2023 23:33:33;09.01.2023 08:30:24;69.86014;555.022304985158;i.O.;25.9719673285408;4.08193195203658;451.250637980824;85.7483907682506;109.477002945321;17.3681514653766;37.1759615398116;5.84623326277754;2.76453923862957;2.76453923862957;140.888793226352;90.00418794694;148.691827443254;2.37906516650507;402.054702880597;7.31485347096244;370.984444151887;98.8639608086126;407.270334931034;1.27947749224439;2562.28096000149;2.56228096000149;648.326535568104;3.24452825008702;979.564417847559;5190.30231137289;626.871682661885;0.150617308830963;797.626242815251;0.303907903408846;90.1808952908105;-15.5472965476583;99.7116328472378;0.00220765580353329;452.969162312135;57;2856;31888.302668
9;P6RRRRRR5V2G2P2A1;2;6RURU;08.01.2023 23:33:33;09.01.2023 08:29:58;61.93304;2374741252.89798;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1216;32134.325244
10;P6RRRRRR5V2G2P3A1;2;6RURU;08.01.2023 23:33:33;09.01.2023 08:30:30;30.8536;2178055378.0063;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1371;31703.747811
11;P6RRRRRR5V2G2P5A1;2;6RURU;08.01.2023 23:33:33;09.01.2023 08:30:08;67.733338;2092725768.90089;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1694;32161.956062
12;P6RRRRRR5V2G2P6A1;2;6RURU;08.01.2023 23:33:33;09.01.2023 08:30:24;167.640425;571.392680078179;i.O.;23.8452955725388;3.74736289988765;373.034898972286;66.3722911103544;317.787709331258;54.5237937406043;115.3696127502;18.3232443872386;8.04487623422023;8.04487623422023;99.6629375373231;23.4961117753788;462.431830849595;8.88430507906616;358.810207891913;6.32000786754047;331.942595959487;86.1661770199493;501.879350981921;1.57670048203322;1838.20808882389;1.83820808882389;623.26882706859;2.97566263857606;975.539600415747;4335.62327518475;576.734762384619;0.127562825677986;812.306060209926;0.329294658385733;93.4747149420141;-10.2859405296149;99.9999999999914;74026452.8061238;1.35086845592752e-08;78;1093;32065.702566
13;P6RRRRRR5V2G6P2A1;2;6RURU;08.01.2023 23:33:33;09.01.2023 08:30:34;131.588857;493.893708228336;i.O.;31.0996384185022;4.88900950663489;442.562045433769;83.4073327815348;129.411468197144;20.6126118289619;88.7757148201838;14.0359554486502;7.82514618025319;7.82514618025319;56.4286564561878;5.91455244011194;293.527301781232;4.96784132989892;186.210998154784;3.01136961686065;302.151500258221;77.0684652325214;357.908795537052;1.12440364271438;1911.1785749465;1.9111785749465;407.95853410698;1.49163760325114;984.946875757846;7047.27594562182;774.109592938559;0.269898754748439;859.706558683507;0.446407646834018;95.3459563082712;-7.32360619830837;99.9999999999944;113511893.840321;8.80964951044437e-09;27;1165;32225.504579
14;P6RRRRRR5V2G6P3A1;2;6RURU;08.01.2023 23:33:33;09.01.2023 08:29:12;197.108383;495.168043553907;i.O.;30.0393026915676;4.72206768803554;425.932158732372;79.0713393841811;123.16268379573;19.5913841065299;81.3102428487668;12.8420895692719;5.83657278647487;5.83657278647487;64.0640440937894;7.53420044789189;202.44611854847;3.29173029405066;206.85246016709;3.36862110470045;306.164785014999;78.2675945046341;359.905434856296;1.13067627013158;1890.46862721384;1.89046862721384;419.913443213188;1.55092352967681;984.280444599768;6748.39255235351;793.87929789873;0.297989114507093;878.003122069127;0.515429404709659;79.7385693492213;-32.9465870078524;99.9999999999938;103510377.308285;9.66086711307891e-09;77;770;32173.692835
15;P6RRRRRR5V2G6P5A1;2;6RURU;08.01.2023 23:33:33;09.01.2023 08:30:28;146.599009;530.796976005163;i.O.;28.4254274785259;4.46802536119471;428.439828986618;79.713526448721;244.927772675893;40.4909638536516;149.352287236266;23.9002954517472;10.928816065781;10.928816065781;103.513112417143;26.6003733683842;144.390493607311;2.30778930134739;263.30708853999;4.38920141661437;368.425199340846;98.00128521593;350.618826765709;1.10150153037742;2047.57671805191;2.04757671805191;460.567187741342;1.7664065108626;982.471453037881;6051.64145388643;669.240649496577;0.174833776551504;775.694950198748;0.271975794655903;88.7296451823256;-17.8907289823693;99.9999999999975;257630591.701379;3.88152662071709e-09;83;729;31817.528389
16;P6RRRRRR5V2G6P6A1;2;6RURU;08.01.2023 23:33:33;09.01.2023 08:30:34;74.257288;2077749565.72164;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1297;32256.040087
17;P6RRRRRR6V2G2P1A1;2;6RUUR;08.01.2023 23:34:15;09.01.2023 08:30:54;39.084844;2501198299.14278;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;2261;32089.13543
18;P6RRRRRR6V2G2P2A1;2;6RUUR;08.01.2023 23:34:15;09.01.2023 08:30:41;49.484843;2454213891.39332;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1097;31884.019197
19;P6RRRRRR6V2G2P3A1;2;6RUUR;08.01.2023 23:34:15;09.01.2023 08:30:49;63.176116;2306930481.88816;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;932;31902.37566
20;P6RRRRRR6V2G2P4A1;2;6RUUR;08.01.2023 23:34:15;09.01.2023 08:30:43;56.52816;2478719738.4853;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1670;32115.183756
21;P6RRRRRR6V2G2P5A1;2;6RUUR;08.01.2023 23:34:15;09.01.2023 08:30:19;59.654469;2057890623.98027;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1401;32040.60644
