LfdNr;Name;Typ;Beschreibung;Startzeit;Endzeit;Dauer;Fval_Opt;Fval_Text;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Leistung_fval;Leistung_phys;Antriebskraft_fval;Antriebskraft_phys;Materialspannung_fval;Materialspannung_phys;Kondition_fval;Kondition_phys;Manip_fval;Manip_physval;MinSingVal_fval;MinSingVal_physval;Positionsfehler_fval;Positionsfehler_phys;Gelenkbereich_fval;Gelenkbereich_phys;Gelenkgrenze_fval;Gelenkgrenze_phys;AntrGeschw_fval;AntrGeschw_phys;KinLaenge_fval;KinLaenge_phys;Bauraum_fval;Bauraum_phys;Footprint_fval;Footprint_phys;CollDist_fval;CollDist_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;num_succ;num_fail;comptime_sum
;;;;;;;Zielfunktion der Optimierung;;(normiert);in kg;(normiert);in J;(normiert);in W;(normiert);in N bzw. Nm;(normiert);"Ausnutzung der Materialgrenzen; 1=max";(normiert);in Einheiten der Jacobi;(normiert);in Einh. von J;(normiert);in Einh. von J;(normiert);in µm;(normiert);in Grad;(normiert);in Grad;(normiert);in rad/s bzw. m/s;(normiert);in mm;(normiert);in m³;(normiert);in m²;(normiert);in mm;transl., normiert;in mm/N;in N/mm;;;Rechenzeit der Fitness-Auswertungen
1;P6RRRRRR10V3G2P1A1;2;6RRRS;08.01.2023 23:28:10;09.01.2023 08:24:35;54.048199;2136912793.39792;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;3177;32098.3132
2;P6RRRRRR10V3G2P4A1;2;6RRRS;08.01.2023 23:28:10;09.01.2023 08:25:21;132.315298;301.567284216423;i.O.;32.1845023487859;5.05984125338823;503.123605251351;100.986156066427;385.5432985604;69.240434400802;119.473713845927;18.9903566018052;12.6962514545724;12.6962514545724;168.912550344122;229.219018975701;38.572680094385;0.606640775552828;492.386105426581;9.76361827327106;792.680805525927;444.209308097274;357.484026890246;0.748712795102728;1348.21751087599;1.34821751087599;686.618629301784;3.72930851040052;986.510328223154;7864.34367621259;821.600774369525;0.347460964980691;881.315466508585;0.530167820341947;98.6095095015565;-2.18452476381573;99.6340515388274;0.00173962409451764;574.836830066601;3;3464;32306.323229
3;P6RRRRRR10V3G6P1A1;2;6RRRS;08.01.2023 23:28:10;09.01.2023 08:25:19;140.019222;206.424368663925;i.O.;35.7911225004974;5.62798718224974;492.303367842801;97.6108003347306;193.481456413449;31.3636543969749;138.801827525173;22.155118998225;15.6075123548073;15.6075123548073;148.664587124873;116.422536098704;2.43376433484134;0.0382296670160415;203.722192850444;3.31396144298195;483.622142087983;142.474070061658;283.175483694525;0.593081346167637;3201.95572795587;3.20195572795587;392.128974939091;1.41563917573576;988.565241469602;9278.01706122955;738.53962937643;0.229639650034059;797.862790653813;0.304288670942017;88.342303527511;-18.5193305142214;99.739916191461;0.00244773495947227;408.540964016627;39;1310;32005.46066
4;P6RRRRRR10V3G6P4A1;2;6RRRS;08.01.2023 23:28:10;09.01.2023 08:25:03;123.584365;201.039117997981;i.O.;29.2354477512439;4.59552437301832;448.79896963016;85.082318759387;123.704627302904;19.6797945736141;80.451242731496;12.7049565464831;5.58342334866225;5.58342334866225;119.455541178378;44.5886714500869;8.54003251545907;0.134154564323219;227.21590504493;3.72879046736952;441.83108239915;124.819233298902;386.401580784221;0.809277578351461;2426.50292029733;2.42650292029733;427.219281818062;1.58800911694452;984.085470218561;6665.68184901103;729.683583656857;0.221182272016639;862.849375793091;0.456972120454991;95.4468294443836;-7.16432354098296;98.9612746377908;0.000612831168675159;1631.77078959909;14;2034;31887.766432
5;P6RRRRRR10V6G2P1A1;2;6RUS;08.01.2023 23:28:10;09.01.2023 08:24:05;118.167347;308.887562860202;i.O.;27.5476262770425;4.32987383181791;484.607859126825;95.2776721719527;225.622560989465;37.0030890930499;35.1966887277427;5.5343228851855;3.10345352929974;3.10345352929974;182.766068981198;366.826947534332;991.516532511267;750.379593923205;762.921593059394;25.5997398481568;216.784536046591;53.1490428953757;777.009517086354;2.44104739064784;1794.95040984212;1.79495040984212;815.880302206087;6.72138802028598;979.750559846106;5238.04655583404;674.926246130787;0.178514334130728;753.426479345746;0.245145043002101;75.5856976467749;-40.3475572215846;99.570682870494;0.00148284351582801;674.379993118563;43;4247;31825.047469
6;P6RRRRRR10V6G2P4A1;2;6RUS;08.01.2023 23:28:10;09.01.2023 08:24:50;221.437344;285.797528596039;i.O.;32.37440639019;5.0897481336367;531.327493668658;110.359992126527;279.501903891714;46.9608976115497;80.0346647531642;12.6384699087502;6.22974596258795;6.22974596258795;174.03236513222;272.53861073309;50.3512036334445;0.792568173770333;485.382845485944;9.5510185175802;750.289990547738;362.599116805797;398.72696633947;1.25263770824022;3188.76026129901;3.18876026129901;685.649079420367;3.7157106794262;985.532174258904;7332.47899333423;819.516579067551;0.343229216865304;873.985295989075;0.498579418094851;91.7088416145856;-13.0978591333393;99.6861242876829;0.00202823789477383;493.038810968232;63;2634;32364.948149
7;P6RRRRRR10V6G6P1A1;2;6RUS;08.01.2023 23:28:10;09.01.2023 08:24:29;179.162318;244.949276845459;i.O.;35.052870080092;5.51166299445834;547.208957497164;116.050823011049;161.533730254234;25.9325954894949;61.5344743939695;9.69602745307328;5.89185759980485;5.89185759980485;139.607140697406;86.2778364972581;48.6816072121706;0.766182896310876;347.263060623376;6.06902669693977;418.735248964413;115.875360265959;302.275810094308;0.94962746435018;2847.47463059594;2.84747463059594;591.237131408023;2.67455879379501;987.393097997058;8415.18601486453;812.942404083131;0.330482404716778;871.643357764461;0.489238249083718;82.0762247343841;-28.9228910173589;99.0800366212569;0.000691957389377907;1445.17569340365;200;228;32017.54014
8;P6RRRRRR10V6G6P4A1;2;6RUS;08.01.2023 23:28:10;09.01.2023 08:25:32;124.016312;269.627641485501;i.O.;24.1383755422342;3.79346524083487;422.459228068776;78.1885336114998;125.72926024935;20.0103482392903;35.0320851381573;5.50838819107974;2.71756438402497;2.71756438402497;136.238904785706;77.2177901756792;251.872571730173;4.17663874305019;459.248925949882;8.79523996685953;268.372289266676;67.2664205793098;587.479424974918;1.23041403042424;3127.25432690167;3.12725432690167;684.908731352284;3.70537908329733;976.297908162145;4474.46859275317;635.23952400283;0.155000587624345;841.038554536202;0.392128900282138;88.9421079660636;-17.5465153128271;99.4127761699528;0.00108408699432679;922.435196836755;63;2588;32222.853941
9;P6RRRRRR5V2G2P2A1;2;6RURU;08.01.2023 23:28:10;09.01.2023 08:24:44;61.855412;2483376135.34317;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1201;31863.14434
10;P6RRRRRR5V2G2P3A1;2;6RURU;08.01.2023 23:28:10;09.01.2023 08:24:58;88.063927;3007285080.75314;Selbstkoll. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1020;31880.769781
11;P6RRRRRR5V2G2P5A1;2;6RURU;08.01.2023 23:28:10;09.01.2023 08:24:32;76.288855;2132152905.43998;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1668;31985.7495
12;P6RRRRRR5V2G2P6A1;2;6RURU;08.01.2023 23:28:10;09.01.2023 08:24:04;93.172731;2002166135.96531;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1831;32149.227305
13;P6RRRRRR5V2G6P2A1;2;6RURU;08.01.2023 23:28:10;09.01.2023 08:23:22;176.483585;238.321173109142;i.O.;30.1227985869001;4.73521251894038;429.983984999321;80.1109768688164;236.24413431226;38.9119302928896;120.156303152287;19.1014668913362;10.7567291951712;10.7567291951712;50.5721746557263;4.91416650157521;827.670956493466;36.0353540470347;262.889168413586;4.38137430648114;294.489345018876;74.8004509987958;365.744711610387;1.14902089908451;2119.35723847983;2.11935723847983;505.852937499307;2.03711738549979;985.140354347785;7139.06831637682;780.180418888439;0.278007867059984;873.513936345777;0.496671896620763;88.9542786758331;-17.5268096710904;99.9999999999924;83256680.620394;1.20110481531142e-08;18;1316;31772.522819
14;P6RRRRRR5V2G6P3A1;2;6RURU;08.01.2023 23:28:10;09.01.2023 08:24:29;266.873704;184.828719914645;i.O.;30.3314098745464;4.76805508865649;426.954504037766;79.3326661448348;108.099190385684;17.1452800451363;79.5494949208886;12.5610497375584;5.76538758183929;5.76538758183929;57.3310586142554;6.08601280556637;139.356050489919;2.22464669734616;196.644000975288;3.19101480427559;330.490532967585;85.7117389890261;476.597790474256;1.49727611727105;1299.38510081168;1.29938510081168;396.06454976786;1.4342794072091;984.471219697384;6831.33181063887;791.555102319963;0.294420979743493;871.658923387148;0.489299224501016;78.8721150551871;-34.462236171408;99.9999999999904;66466794.3338828;1.50451065080211e-08;35;1366;32054.952822
15;P6RRRRRR5V2G6P5A1;2;6RURU;08.01.2023 23:28:10;09.01.2023 08:24:57;240.327445;230.859780524943;i.O.;28.1475894338691;4.42429638810794;422.49375295225;78.1972725556508;222.030097178076;36.3628503141183;132.744059420612;21.1589302201262;9.95697835111878;9.95697835111878;104.467826600995;27.4326315742465;112.382165919139;1.78386352378097;272.385294485931;4.56035644533466;372.324267405939;99.3174150999627;357.616828353752;1.12348640075623;2046.00327314774;2.04600327314774;466.798374090727;1.80155745484091;982.646881748007;6112.85037883779;662.539249608983;0.170640510936082;768.582894382165;0.262871172797648;93.0369080634877;-10.9814248577865;99.9999999999974;246057845.947802;4.06408499655052e-09;57;979;32400.294841
16;P6RRRRRR5V2G6P6A1;2;6RURU;08.01.2023 23:28:10;09.01.2023 08:25:25;99.479418;2071273386.13686;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1239;31773.202054
