LfdNr;Name;Typ;Beschreibung;Startzeit;Endzeit;Dauer;Fval_Opt;Fval_Text;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Leistung_fval;Leistung_phys;Antriebskraft_fval;Antriebskraft_phys;Materialspannung_fval;Materialspannung_phys;Kondition_fval;Kondition_phys;Manip_fval;Manip_physval;MinSingVal_fval;MinSingVal_physval;Positionsfehler_fval;Positionsfehler_phys;Gelenkbereich_fval;Gelenkbereich_phys;Gelenkgrenze_fval;Gelenkgrenze_phys;AntrGeschw_fval;AntrGeschw_phys;KinLaenge_fval;KinLaenge_phys;Bauraum_fval;Bauraum_phys;Footprint_fval;Footprint_phys;CollDist_fval;CollDist_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;num_succ;num_fail;comptime_sum
;;;;;;;Zielfunktion der Optimierung;;(normiert);in kg;(normiert);in J;(normiert);in W;(normiert);in N bzw. Nm;(normiert);"Ausnutzung der Materialgrenzen; 1=max";(normiert);in Einheiten der Jacobi;(normiert);in Einh. von J;(normiert);in Einh. von J;(normiert);in µm;(normiert);in Grad;(normiert);in Grad;(normiert);in rad/s bzw. m/s;(normiert);in mm;(normiert);in m³;(normiert);in m²;(normiert);in mm;transl., normiert;in mm/N;in N/mm;;;Rechenzeit der Fitness-Auswertungen
1;P6RRRRRR10V3G2P1A1;2;6RRRS;08.01.2023 23:28:59;09.01.2023 08:20:54;89.206412;2313904280.09482;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1360;31672.665125
2;P6RRRRRR10V3G2P4A1;2;6RRRS;08.01.2023 23:28:59;09.01.2023 08:20:22;35.2752;2121373315.49282;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1188;31663.568995
3;P6RRRRRR10V3G6P1A1;2;6RRRS;08.01.2023 23:28:59;09.01.2023 08:19:15;337.902726;227.972823234471;i.O.;33.6646271019849;5.29296179011733;476.248700699715;92.8034616642973;180.924177458278;29.2101748134818;124.369652019453;19.7883245103395;14.2379904409012;14.2379904409012;154.773598661992;142.661544919238;4.72711281445614;0.07425467914873;271.488350311041;4.54334809319069;413.623925429083;113.964151588287;266.146129145832;0.557415149403938;2251.45999729599;2.25145999729599;404.775219021966;1.47613178661081;987.272043946893;8335.12917020961;723.213831057883;0.215325710496486;850.350067819039;0.417541317668967;97.1130834484669;-4.53786890374334;99.6785770700119;0.00198061277999561;504.894247931801;9;758;32069.630299
4;P6RRRRRR10V3G6P4A1;2;6RRRS;08.01.2023 23:28:58;09.01.2023 08:20:00;189.663524;2073255003.34995;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;935;31797.402771
5;P6RRRRRR10V6G2P1A1;2;6RUS;08.01.2023 23:28:59;09.01.2023 08:20:09;232.114266;322.983753390328;i.O.;27.6176019882942;4.34088625043161;481.888235567604;94.4659707760357;150.372525292514;24.0697734888265;25.7283799113072;4.04360617290924;2.53004499234051;2.53004499234051;147.388592507344;111.596722560934;978.282301147958;293.020359918027;685.918152730683;18.597383400576;204.653278178866;49.953014953235;732.917955572843;2.3025296649117;2812.57947056468;2.81257947056468;795.834287752333;6.02102215978457;979.885577370641;5273.23045066563;673.548135354006;0.177611505543492;761.035938483228;0.253776907840153;93.9995854917391;-9.45344004436935;99.2517481354515;0.000850770291349409;1175.40540633347;9;1805;31766.73514
6;P6RRRRRR10V6G2P4A1;2;6RUS;08.01.2023 23:28:59;09.01.2023 08:20:15;219.906994;337.863676207696;i.O.;33.4563985971997;5.26016226554675;535.849825534123;111.948012835072;330.80629955732;57.2069736038173;75.246474346913;11.8750402221061;5.78069708065113;5.78069708065113;177.349377777389;305.010235800752;772.084193553888;26.7285469625768;655.83332093107;16.6592550124765;767.428154971491;392.16479050426;414.946044568726;1.30359144525325;3192.68374147782;3.19268374147782;760.995176498786;5.07458552859785;986.413050721813;7808.02098332145;841.464669819029;0.393227930721016;880.424423482791;0.526123762874071;93.2483085503563;-10.6454745678883;99.7866321809148;0.00298366169447908;335.158641427204;13;1207;31996.384051
7;P6RRRRRR10V6G6P1A1;2;6RUS;08.01.2023 23:28:58;09.01.2023 08:20:17;405.978878;258.147158959382;i.O.;35.4266468548325;5.57055598552561;548.567337655058;116.552808159232;181.751474182712;29.3512678210035;83.0522696703414;13.1203377755492;7.16311992098715;7.16311992098715;150.900029658761;125.397707335247;15.8956619901578;0.249740376476823;309.040178308304;5.27543932727251;470.552292896957;136.727562019362;285.502324179353;0.59795466948311;1800.80988275975;1.80080988275975;540.489177549043;2.27207178081246;988.22356931552;9008.77315639621;801.786439479443;0.310732581903352;854.148553636485;0.428821438649368;87.3239426671517;-20.1788879394189;99.5340520586606;0.00136626508698731;731.92238426077;90;11;32207.904372
8;P6RRRRRR10V6G6P4A1;2;6RUS;08.01.2023 23:28:59;09.01.2023 08:19:49;194.457247;280.864138469904;i.O.;24.4142838452314;3.83686789930001;425.161228097775;78.8747165517641;114.889036911609;18.2452320203561;33.3241030118228;5.23932405164912;2.56206123623433;2.56206123623433;132.7798454788;68.9209808294978;309.696040481347;5.2886158976378;443.606753087819;8.36859791267534;263.236736626648;65.8182524940216;644.158317029553;1.34912202435254;3111.40743354836;3.11140743354836;676.488466919089;3.59092505635346;976.563442989726;4525.2106772519;641.989670738344;0.158668736694519;841.521120278494;0.39337396104925;90.2438533311319;-15.4460273702007;99.4669078374179;0.00119417417281981;837.398783829579;31;864;31268.429311
9;P6RRRRRR5V2G2P2A1;2;6RURU;08.01.2023 23:28:59;09.01.2023 08:18:50;144.341498;3001111515.1142;Selbstkoll. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;646;31655.00387
10;P6RRRRRR5V2G2P3A1;2;6RURU;08.01.2023 23:28:59;09.01.2023 08:19:52;186.388434;3011393375.16827;Selbstkoll. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;504;31730.98521
11;P6RRRRRR5V2G2P5A1;2;6RURU;08.01.2023 23:28:59;09.01.2023 08:18:59;215.86481;2480445459.47323;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;801;31607.193827
12;P6RRRRRR5V2G2P6A1;2;6RURU;08.01.2023 23:28:59;09.01.2023 08:18:01;155.490843;2071755936.83544;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;852;31545.847115
13;P6RRRRRR5V2G6P2A1;2;6RURU;08.01.2023 23:28:59;09.01.2023 08:20:00;438.761695;202.685207979247;i.O.;29.3116827637624;4.60752469662662;443.170250468409;83.5694614030819;185.762519560313;30.0368772344511;125.426832926317;19.9609455851507;9.10974636457967;9.10974636457967;32.6536711672894;2.79196573782563;396.59651057998;7.18405805951732;164.425015293955;2.6417874732116;347.133911399247;90.993767177203;263.416737751255;0.82754808815193;2123.61638568377;2.12361638568377;449.975119844134;1.70802619559556;984.348587856308;6777.78568359682;771.983230509298;0.267156364303565;873.91597992514;0.498298023715629;88.6005262709541;-18.1001165694186;99.9999999999942;110580139.194827;9.04321523992781e-09;4;586;30967.786746
