LfdNr;Name;Typ;Beschreibung;Startzeit;Endzeit;Dauer;Fval_Opt;Fval_Text;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Leistung_fval;Leistung_phys;Antriebskraft_fval;Antriebskraft_phys;Materialspannung_fval;Materialspannung_phys;Kondition_fval;Kondition_phys;Manip_fval;Manip_physval;MinSingVal_fval;MinSingVal_physval;Positionsfehler_fval;Positionsfehler_phys;Gelenkbereich_fval;Gelenkbereich_phys;Gelenkgrenze_fval;Gelenkgrenze_phys;AntrGeschw_fval;AntrGeschw_phys;KinLaenge_fval;KinLaenge_phys;Bauraum_fval;Bauraum_phys;Footprint_fval;Footprint_phys;CollDist_fval;CollDist_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;num_succ;num_fail;comptime_sum
;;;;;;;Zielfunktion der Optimierung;;(normiert);in kg;(normiert);in J;(normiert);in W;(normiert);in N bzw. Nm;(normiert);"Ausnutzung der Materialgrenzen; 1=max";(normiert);in Einheiten der Jacobi;(normiert);in Einh. von J;(normiert);in Einh. von J;(normiert);in µm;(normiert);in Grad;(normiert);in Grad;(normiert);in rad/s bzw. m/s;(normiert);in mm;(normiert);in m³;(normiert);in m²;(normiert);in mm;transl., normiert;in mm/N;in N/mm;;;Rechenzeit der Fitness-Auswertungen
1;P6RRRRRR10V3G2P1A1;2;6RRRS;08.01.2023 23:20:57;09.01.2023 08:18:54;60.410424;2156468188.42851;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;2379;32003.473396
2;P6RRRRRR10V3G2P4A1;2;6RRRS;08.01.2023 23:20:57;09.01.2023 08:18:26;200.031724;456.470486264739;i.O.;31.3729273833764;4.932041151221;502.295568484957;100.723787128471;477.173897242726;93.0743215050955;137.921387271576;22.0100757078323;14.2589526074814;14.2589526074814;174.738299019212;279.138721391259;122.805970310846;1.95332074140976;572.108523883355;12.56711536163;772.404022437346;401.542755965441;347.124796929254;0.727016474607861;1382.4560647106;1.3824560647106;729.194503037684;4.41460753918948;985.840949800687;7492.43757576187;809.982095259683;0.325022553848723;878.947246641156;0.519549122846218;90.1716621318244;-15.562150869134;99.6159137811691;0.00165747172611641;603.328542045832;2;2399;32158.383282
3;P6RRRRRR10V3G6P1A1;2;6RRRS;08.01.2023 23:20:57;09.01.2023 08:18:32;111.030054;339.19749095539;i.O.;33.674943579361;5.29458683991463;475.874647800647;92.6941615771576;156.79063016163;25.1389655511861;93.5635517685984;14.803668410307;6.95181425354897;6.95181425354897;153.061443907632;134.749181331607;5.30478942398855;0.0833293660727185;340.120612232944;5.91654100365194;673.40186014277;266.274127779575;333.901960234727;0.699322630195099;3152.60858710663;3.15260858710663;448.154273296925;1.69815783861271;987.544260250921;8517.33884870708;714.6043320357;0.207918270195966;800.761003405649;0.309024796381474;90.9667427554704;-14.285410039195;99.8179742985889;0.00349740741319943;285.926082339146;19;1296;32009.770616
4;P6RRRRRR10V3G6P4A1;2;6RRRS;08.01.2023 23:20:57;09.01.2023 08:18:37;151.806825;318.823164726573;i.O.;29.2354477512439;4.59552437301832;448.79896963016;85.082318759387;123.704627302905;19.6797945736142;80.4512427314963;12.7049565464831;5.58342334866227;5.58342334866227;119.455541178378;44.5886714500869;8.54003251545908;0.134154564323219;227.21590504493;3.72879046736952;441.83108239915;124.819233298902;386.401580784221;0.809277578351461;2426.50292029733;2.42650292029733;427.219281818062;1.58800911694452;984.085470218561;6665.68184901103;729.68358365686;0.221182272016642;862.849375793091;0.456972120454989;95.4468294443836;-7.16432354098296;98.9612705040286;0.000612828729399131;1631.77728462646;3;1598;32154.229684
5;P6RRRRRR10V6G2P1A1;2;6RUS;08.01.2023 23:20:57;09.01.2023 08:19:01;196.159103;430.560010373067;i.O.;26.7565241717855;4.20538146646467;469.732778806606;90.9162989464564;116.176053930188;18.4542033575676;18.9777577090345;2.98190254914988;1.42584028659811;1.42584028659811;132.543102563232;68.3875365762684;983.12451165923;377.156880421611;707.108283733417;20.1800064353317;191.471160022862;46.5257362754217;641.841316781946;2.01640396557256;1956.17274533153;1.95617274533153;802.96949460356;6.25448465548109;979.03744653279;5059.73403501089;650.613505176554;0.163538719289196;746.12836166842;0.237328649907177;99.2556600168995;-1.16925979280744;99.6513488514576;0.00182593234031803;547.665418876267;21;3121;32206.819021
6;P6RRRRRR10V6G2P4A1;2;6RUS;08.01.2023 23:20:57;09.01.2023 08:18:17;135.334419;438.582727127487;i.O.;30.0482068960494;4.72346947687254;514.58026125481;104.688728149083;271.452964582905;45.4267753631842;66.430037940676;10.4728448312064;5.15161142851371;5.15161142851371;183.161170928081;371.811558030541;223.53313771999;3.66303956552319;690.180809902876;18.8996915932358;765.6908206083;388.980144816113;571.259408663405;1.794664361551;3143.5988137276;3.1435988137276;734.737882186974;4.51887869879822;983.90208692085;6589.71628390717;767.683965045543;0.261758365307693;852.868751946447;0.424957005215318;90.6351794033854;-14.8172575399047;99.7722730898457;0.00279552845368408;357.71411973366;31;2043;31927.01175
7;P6RRRRRR10V6G6P1A1;2;6RUS;08.01.2023 23:20:57;09.01.2023 08:17:04;103.6719;387.841351545313;i.O.;33.3230531246638;5.23915868307148;526.07306544292;108.545874099677;203.722503756454;33.1396686302759;96.7504769304729;15.3156237185109;9.23224540508193;9.23224540508193;161.273382741918;177.290729293197;9.69547310706271;0.152307911102816;300.606419482327;5.10725894374103;489.4980184933;145.130938467894;347.505773950608;0.72781439101551;1829.10984146275;1.82910984146275;540.700512262547;2.27359313221817;987.320158660504;8366.76592576089;762.555868377155;0.25556410486162;846.59111318022;0.406918590534412;95.1663650234659;-7.60727994462393;99.3625513231874;0.000998666276088526;1001.33550510657;172;270;31974.701714
8;P6RRRRRR10V6G6P4A1;2;6RUS;08.01.2023 23:20:57;09.01.2023 08:18:45;129.637869;389.364590522625;i.O.;28.1850858088673;4.43019784946266;476.372969094696;92.8397998763366;111.346251916938;17.6707847639635;36.8577662044983;5.79608188694812;3.19770089924198;3.19770089924198;136.673083198664;78.328880049754;309.003052008187;5.27469387153761;398.251446136944;7.22354410044397;224.483384979159;55.1996714752801;341.736062647399;0.715730335919847;2114.05857928739;2.11405857928739;654.86303626868;3.32037209831424;982.811783936509;6171.5254336072;725.462423690465;0.217331839601463;849.580290671914;0.415323533260661;76.64217261386;-38.4305545721624;98.7463606404965;0.000507751671979285;1969.46668063517;61;2540;31967.756602
9;P6RRRRRR5V2G2P2A1;2;6RURU;08.01.2023 23:20:57;09.01.2023 08:19:01;71.950719;2421057209.26031;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;934;32040.222813
10;P6RRRRRR5V2G2P3A1;2;6RURU;08.01.2023 23:20:57;09.01.2023 08:18:51;92.887896;3011393375.16792;Selbstkoll. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;860;32189.167401
11;P6RRRRRR5V2G2P5A1;2;6RURU;08.01.2023 23:20:57;09.01.2023 08:18:48;165.23409;2225666271.59421;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1365;32163.724682
12;P6RRRRRR5V2G2P6A1;2;6RURU;08.01.2023 23:20:57;09.01.2023 08:19:03;39.489608;20990864.2631034;Bauraum-verl. Traj.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1401;31887.601584
13;P6RRRRRR5V2G6P2A1;2;6RURU;08.01.2023 23:20:57;09.01.2023 08:19:04;170.518273;339.765601008898;i.O.;29.6139402211162;4.65510502487163;438.193759905839;82.2504144791217;197.070641423632;31.9840043811901;131.400890571266;20.938598002925;10.0887115872837;10.0887115872837;43.050030550951;3.87490792300147;558.188468848228;12.0181293939084;202.54827821735;3.29350898763185;326.870466556714;84.5839329583515;374.148706743934;1.17542282845687;2121.70408770625;2.12170408770625;449.702152549589;1.70654374069;984.552347339422;6867.22264634162;784.582700115519;0.284162349086572;878.012702449499;0.515470892646626;86.9789913058517;-20.7434224395194;99.9999999999935;98320231.5677513;1.01708466716834e-08;16;1082;32294.717471
14;P6RRRRRR5V2G6P3A1;2;6RURU;08.01.2023 23:20:57;09.01.2023 08:17:31;193.25395;358.056828783091;i.O.;26.804055842656;4.21286095161437;410.848138006628;75.2906611130944;173.844922233531;28.0071458471237;81.3268154855811;12.844735733996;5.80850051855636;5.80850051855636;67.9944201662991;8.53578575501252;926.92115935643;86.7311275165619;326.39912685855;5.62917492720313;377.135308044259;100.956177546477;654.790860193507;2.05708615602166;1837.36737701145;1.83736737701145;581.995532857064;2.59514081712241;980.768514337794;5515.48745578993;709.036873412389;0.203346142404733;867.209923352556;0.472445059564683;93.5175607381925;-10.217931148922;99.999999999984;39898030.9572131;2.50638935307962e-08;21;1466;32070.281788
15;P6RRRRRR5V2G6P5A1;2;6RURU;08.01.2023 23:20:57;09.01.2023 08:18:36;142.662938;366.338513519673;i.O.;28.2231113276516;4.43618262289718;411.144302468244;75.3635795765236;233.608122190953;38.435935691408;141.514564118311;22.6025756595574;10.1850727610511;10.1850727610511;98.7700657684587;22.8303788168463;131.388338021565;2.09365398151034;255.926186769572;4.25162069915591;415.380539133147;114.618330914606;386.798455401917;1.21516318591054;1956.27870141783;1.95627870141783;546.356673972464;2.31474263714847;982.738670650473;6145.37215674407;746.12043846608;0.237320395529767;853.784204711546;0.427714500362678;95.6306516993887;-6.8741533697668;99.9999999999975;253147109.354073;3.95027224506567e-09;66;749;31831.212569
16;P6RRRRRR5V2G6P6A1;2;6RURU;08.01.2023 23:20:57;09.01.2023 08:18:01;106.787419;2088585496.41444;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1031;32058.629753
17;P6RRRRRR6V2G2P1A1;2;6RUUR;08.01.2023 23:27:38;09.01.2023 08:19:22;91.062333;2517377299.746;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1021;31534.982825
