LfdNr;Name;Typ;Beschreibung;Startzeit;Endzeit;Dauer;Fval_Opt;Fval_Text;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Leistung_fval;Leistung_phys;Antriebskraft_fval;Antriebskraft_phys;Materialspannung_fval;Materialspannung_phys;Kondition_fval;Kondition_phys;Manip_fval;Manip_physval;MinSingVal_fval;MinSingVal_physval;Positionsfehler_fval;Positionsfehler_phys;Gelenkbereich_fval;Gelenkbereich_phys;Gelenkgrenze_fval;Gelenkgrenze_phys;AntrGeschw_fval;AntrGeschw_phys;KinLaenge_fval;KinLaenge_phys;Bauraum_fval;Bauraum_phys;Footprint_fval;Footprint_phys;CollDist_fval;CollDist_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;num_succ;num_fail;comptime_sum
;;;;;;;Zielfunktion der Optimierung;;(normiert);in kg;(normiert);in J;(normiert);in W;(normiert);in N bzw. Nm;(normiert);"Ausnutzung der Materialgrenzen; 1=max";(normiert);in Einheiten der Jacobi;(normiert);in Einh. von J;(normiert);in Einh. von J;(normiert);in µm;(normiert);in Grad;(normiert);in Grad;(normiert);in rad/s bzw. m/s;(normiert);in mm;(normiert);in m³;(normiert);in m²;(normiert);in mm;transl., normiert;in mm/N;in N/mm;;;Rechenzeit der Fitness-Auswertungen
1;P6RRRRRR10V3G2P1A1;2;6RRRS;08.01.2023 23:17:51;09.01.2023 08:15:25;63.936783;2156468188.42851;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;2391;32097.057885
2;P6RRRRRR10V3G2P4A1;2;6RRRS;08.01.2023 23:17:51;09.01.2023 08:15:25;205.191692;299.496272564212;i.O.;31.3729273833764;4.932041151221;502.295568484957;100.723787128471;477.173897242726;93.0743215050955;137.921387271576;22.0100757078323;14.2589526074814;14.2589526074814;174.738299019212;279.138721391259;122.805970310846;1.95332074140976;572.108523883355;12.56711536163;772.404022437346;401.542755965441;347.124796929254;0.727016474607861;1382.4560647106;1.3824560647106;729.194503037684;4.41460753918948;985.840949800687;7492.43757576187;809.982095259683;0.325022553848723;878.947246641156;0.519549122846218;90.1716621318244;-15.562150869134;99.6159137811691;0.00165747172611641;603.328542045832;2;2399;32305.026779
3;P6RRRRRR10V3G6P1A1;2;6RRRS;08.01.2023 23:17:51;09.01.2023 08:15:48;177.052934;177.046837966655;i.O.;33.0117645737846;5.19012862741647;486.402287439086;95.8168650239714;119.468705675708;18.9895415511015;77.5948869552413;12.2492955837746;6.76796585195681;6.76796585195681;127.782094438712;58.5093876453255;4.97501168240927;0.0781488916224766;211.206360146421;3.44494977544996;503.247141740413;151.538037746209;264.017433891219;0.552956820488189;3115.67172695039;3.11567172695039;420.533862370938;1.55404707169147;985.836754683495;7490.21760270747;738.172594186026;0.229278441039816;856.123268898283;0.434916693210125;98.493418287834;-2.36697490905782;99.3173334617291;0.000932512925462235;1072.37119475241;33;1178;32388.082255
4;P6RRRRRR10V3G6P4A1;2;6RRRS;08.01.2023 23:17:51;09.01.2023 08:15:39;154.148279;178.968657433601;i.O.;29.2354477512439;4.59552437301832;448.79896963016;85.082318759387;123.704627302905;19.6797945736142;80.4512427314963;12.7049565464831;5.58342334866227;5.58342334866227;119.455541178378;44.5886714500869;8.54003251545908;0.134154564323219;227.21590504493;3.72879046736952;441.83108239915;124.819233298902;386.401580784221;0.809277578351461;2426.50292029733;2.42650292029733;427.219281818062;1.58800911694452;984.085470218561;6665.68184901103;729.68358365686;0.221182272016642;862.849375793091;0.456972120454989;95.4468294443836;-7.16432354098296;98.9612705040286;0.000612828729399131;1631.77728462646;4;1616;32127.037351
5;P6RRRRRR10V6G2P1A1;2;6RUS;08.01.2023 23:17:51;09.01.2023 08:15:47;150.733983;280.61877382865;i.O.;26.4238721433303;4.15303734308834;466.912094531456;90.1102353283282;104.525230093697;16.5679304831066;17.6891589802941;2.7793219046681;1.44764690711836;1.44764690711836;184.865331411289;394.121584526674;981.374849648579;341.708987876575;724.731401923356;21.6676275157104;201.399039662066;49.1026575125112;704.971798640578;2.21473422359722;3349.99560894623;3.34999560894623;797.743290362325;6.08192411108242;978.5575854034;4946.41910578691;640.68431289675;0.157949812659252;738.727948543128;0.229825351384898;89.217262811199;-17.1013309819115;99.8182041152182;0.00350182867258125;285.56508427435;32;3010;32342.530569
6;P6RRRRRR10V6G2P4A1;2;6RUS;08.01.2023 23:17:51;09.01.2023 08:15:38;184.256547;272.651828340854;i.O.;32.0074745597136;5.03196299219773;527.828454854118;109.148292355327;283.657533080728;47.760079406091;73.4200280293843;11.584195265324;5.62940898622681;5.62940898622681;175.453889646524;285.996629162997;127.470067028066;2.02948990697741;531.172555067352;11.0306027240311;728.152969588994;329.659681540464;417.544576143037;1.31175497295723;3271.31787939683;3.27131787939683;712.527982433465;4.1238769866341;985.210360023343;7172.87282048212;810.784245890444;0.326485623756688;864.545978491431;0.462875715293234;93.2955016366886;-10.5705096485751;99.7715348061333;0.00278649464540469;358.873827964873;32;2144;32366.87545
7;P6RRRRRR10V6G6P1A1;2;6RUS;08.01.2023 23:17:51;09.01.2023 08:15:16;109.854552;236.452178886928;i.O.;33.8859260814391;5.32782138137598;534.054519309674;111.314584790878;212.802393342704;34.7301978637432;89.3747760743334;14.1319223259652;8.71347640581837;8.71347640581837;156.68476016817;152.05724494518;22.0326410695904;0.346226160581447;335.873970758594;5.8268368482503;452.935677143934;129.313109210855;343.404907252945;0.719225555888358;1850.3354020347;1.8503354020347;586.095834505011;2.63000252849618;987.490007872923;8480.3920555989;792.903394745943;0.296481488563212;864.197177019463;0.461650144853243;94.3457594912915;-8.90508814452519;99.3018594566068;0.000911842547996421;1096.68056420189;187;260;32056.26226
8;P6RRRRRR10V6G6P4A1;2;6RUS;08.01.2023 23:17:51;09.01.2023 08:15:44;119.035368;241.61851133053;i.O.;28.6199128169803;4.49863645260736;483.111473453811;94.8302455946426;154.146178804136;24.6977830021688;48.4605568619848;7.62690354934171;4.13277562246629;4.13277562246629;159.120963770176;164.95972416073;77.4394050723391;1.22245068317686;404.295553712962;7.36902644614736;361.358842963861;95.6426200576701;312.162087284937;0.980686120143613;2183.88277523233;2.18388277523233;647.775064312625;3.23824509414456;983.262781627795;6337.90188811599;740.555783327586;0.231640988582798;851.640225921585;0.421309008956988;90.0663055669864;-15.7316963298324;99.1556526948841;0.000753934357988306;1326.37541903285;62;1647;32004.259915
9;P6RRRRRR5V2G2P2A1;2;6RURU;08.01.2023 23:17:51;09.01.2023 08:15:28;72.808428;2421057209.26031;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;924;32002.666762
