LfdNr;Name;Typ;Beschreibung;Startzeit;Endzeit;Dauer;Fval_Opt;Fval_Text;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Leistung_fval;Leistung_phys;Antriebskraft_fval;Antriebskraft_phys;Materialspannung_fval;Materialspannung_phys;Kondition_fval;Kondition_phys;Manip_fval;Manip_physval;MinSingVal_fval;MinSingVal_physval;Positionsfehler_fval;Positionsfehler_phys;Gelenkbereich_fval;Gelenkbereich_phys;Gelenkgrenze_fval;Gelenkgrenze_phys;AntrGeschw_fval;AntrGeschw_phys;KinLaenge_fval;KinLaenge_phys;Bauraum_fval;Bauraum_phys;Footprint_fval;Footprint_phys;CollDist_fval;CollDist_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;num_succ;num_fail;comptime_sum
;;;;;;;Zielfunktion der Optimierung;;(normiert);in kg;(normiert);in J;(normiert);in W;(normiert);in N bzw. Nm;(normiert);"Ausnutzung der Materialgrenzen; 1=max";(normiert);in Einheiten der Jacobi;(normiert);in Einh. von J;(normiert);in Einh. von J;(normiert);in µm;(normiert);in Grad;(normiert);in Grad;(normiert);in rad/s bzw. m/s;(normiert);in mm;(normiert);in m³;(normiert);in m²;(normiert);in mm;transl., normiert;in mm/N;in N/mm;;;Rechenzeit der Fitness-Auswertungen
1;P6RRRRRR10V3G2P1A1;2;6RRRS;08.01.2023 23:35:11;09.01.2023 08:27:16;91.472784;2044006036.84291;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1060;31760.666547
2;P6RRRRRR10V3G2P4A1;2;6RRRS;08.01.2023 23:35:10;09.01.2023 08:26:36;37.630066;2121373315.49282;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1163;31699.713413
3;P6RRRRRR10V3G6P1A1;2;6RRRS;08.01.2023 23:35:10;09.01.2023 08:27:04;203.144269;354.564855619723;i.O.;28.4246649605972;4.46790534605309;442.432876207513;83.3729335360183;179.393041685661;28.9493261616505;114.086340046968;18.114977285621;14.2728205442846;14.2728205442846;172.089647803635;255.189363202325;9.22043355297164;0.144844359684821;341.177422100925;5.93897440982063;481.196870370219;141.391004674913;331.057657441898;0.693365536356075;3081.79527487241;3.08179527487241;468.411356441982;1.81075745107721;983.380315026549;6382.74373168468;619.176444330113;0.146736849414077;812.168385765754;0.329038714938893;95.7700758625224;-6.65414428162507;99.6209625939697;0.00167954993283466;595.39760054186;7;726;31971.058261
4;P6RRRRRR10V3G6P4A1;2;6RRRS;08.01.2023 23:35:10;09.01.2023 08:27:07;192.317313;2073255003.34995;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;918;31740.221355
5;P6RRRRRR10V6G2P1A1;2;6RUS;08.01.2023 23:35:10;09.01.2023 08:27:26;40.276225;2032309234.47544;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1290;31779.890711
6;P6RRRRRR10V6G2P4A1;2;6RUS;08.01.2023 23:35:10;09.01.2023 08:25:02;240.870547;488.325833069477;i.O.;32.3559800904026;5.08684624341959;528.273495943402;109.301598771127;357.939059028584;63.0087470677272;75.9487194329193;11.9869188541501;7.82215728916621;7.82215728916621;175.683489912816;288.233465175074;719.768450850044;21.2310343127082;642.925501254378;15.918702943502;620.484703535578;221.080184175853;544.852756551961;1.71170541727179;3081.79263262364;3.08179263262364;768.544076239932;5.25645896450799;985.606105792426;7370.15383169604;824.776493357199;0.354097348559808;880.849783772309;0.528046831641354;91.6935336620487;-13.1223180927301;99.2629888353904;0.000863747201613531;1157.74615319383;11;1247;31687.688809
7;P6RRRRRR10V6G6P1A1;2;6RUS;08.01.2023 23:35:10;09.01.2023 08:26:06;321.609161;344.659868582869;i.O.;35.5234371537788;5.58580707842235;548.796494605255;116.637738506004;120.699336911584;19.1898931545677;53.5045181301541;8.42431448249608;4.58214346133361;4.58214346133361;145.47894422795;104.753367971196;22.1236987360439;0.347658212736589;318.299730466237;5.46281776475063;433.044451991821;121.354945973758;312.882619675459;0.655299826272234;2870.07778965146;2.87007778965146;547.430635626632;2.32265147066678;988.312157484557;9077.07080186803;809.74261811765;0.32458808353053;861.391601364891;0.452013234898579;96.9351533383439;-4.81797265895736;99.0352043086958;0.000659798793854419;1515.61356176205;86;3;32097.095945
8;P6RRRRRR10V6G6P4A1;2;6RUS;08.01.2023 23:35:10;09.01.2023 08:27:03;433.5988;355.344446583062;i.O.;32.0552728126901;5.03949016374974;517.123564029932;105.529592831881;135.585336728522;21.6256620371566;50.6073732677055;7.96617483059313;4.20055789790828;4.20055789790828;144.244348082922;100.558840545306;92.5764169500671;1.46452477818115;394.548356536019;7.1353936792865;387.377236384045;104.50120695749;273.984548307903;0.860747844161224;3000.61744409312;3.00061744409312;628.048730097436;3.02446642562864;986.692685371596;7972.14497126165;780.688364207629;0.278705870789737;860.951578168207;0.450536524582142;91.5109208885411;-13.4142156171665;99.1543916368758;0.000752809881706183;1328.35663332896;21;792;31672.969329
9;P6RRRRRR5V2G2P2A1;2;6RURU;08.01.2023 23:35:10;09.01.2023 08:26:37;147.592218;3001111515.1142;Selbstkoll. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;633;31771.403612
