LfdNr;Name;Typ;Beschreibung;Startzeit;Endzeit;Dauer;Fval_Opt;Fval_Text;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Leistung_fval;Leistung_phys;Antriebskraft_fval;Antriebskraft_phys;Materialspannung_fval;Materialspannung_phys;Kondition_fval;Kondition_phys;Manip_fval;Manip_physval;MinSingVal_fval;MinSingVal_physval;Positionsfehler_fval;Positionsfehler_phys;Gelenkbereich_fval;Gelenkbereich_phys;Gelenkgrenze_fval;Gelenkgrenze_phys;AntrGeschw_fval;AntrGeschw_phys;KinLaenge_fval;KinLaenge_phys;Bauraum_fval;Bauraum_phys;Footprint_fval;Footprint_phys;CollDist_fval;CollDist_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;num_succ;num_fail;comptime_sum
;;;;;;;Zielfunktion der Optimierung;;(normiert);in kg;(normiert);in J;(normiert);in W;(normiert);in N bzw. Nm;(normiert);"Ausnutzung der Materialgrenzen; 1=max";(normiert);in Einheiten der Jacobi;(normiert);in Einh. von J;(normiert);in Einh. von J;(normiert);in µm;(normiert);in Grad;(normiert);in Grad;(normiert);in rad/s bzw. m/s;(normiert);in mm;(normiert);in m³;(normiert);in m²;(normiert);in mm;transl., normiert;in mm/N;in N/mm;;;Rechenzeit der Fitness-Auswertungen
1;P6RRRRRR10V3G2P1A1;2;6RRRS;08.01.2023 23:31:37;09.01.2023 08:28:54;34.770669;2144722927.16864;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;3307;32077.432549
2;P6RRRRRR10V3G2P4A1;2;6RRRS;08.01.2023 23:31:37;09.01.2023 08:28:47;119.297662;397.211880569371;i.O.;32.1845023487859;5.05984125338823;503.123605251351;100.986156066427;385.543298560404;69.240434400803;119.473713845928;18.9903566018055;12.6962514545726;12.6962514545726;168.912550344122;229.2190189757;38.5726800943847;0.606640775552824;492.386105426581;9.76361827327106;792.680805525927;444.209308097275;357.484026890245;0.748712795102726;1348.21751087599;1.34821751087599;686.618629301783;3.72930851040052;986.510328223154;7864.34367621259;821.600774369517;0.347460964980676;881.315466508585;0.530167820341943;98.6095095015566;-2.18452476381565;99.6340408087865;0.00173957308705739;574.853685332398;4;3666;32105.555445
3;P6RRRRRR10V3G6P1A1;2;6RRRS;08.01.2023 23:31:37;09.01.2023 08:28:41;141.931012;251.37758740046;i.O.;33.2980974805713;5.23522790774755;484.393284777085;95.2133904743358;162.234478116203;26.0501047149558;84.953454549825;13.4242360176879;8.52180202881236;8.52180202881236;159.424798931946;166.645686388998;13.1978195816951;0.207340569525571;391.456366581952;7.06234910663125;701.149217266743;295.710019578142;300.833962932668;0.630065178599716;3183.67027423769;3.18367027423769;506.944829535351;2.0441186879331;986.93893624586;8122.49370089536;727.921030749332;0.219560886515363;807.651484927547;0.320838847535623;87.4500083857732;-19.9728831472473;99.9160678791629;0.00758493169437258;131.840343498666;27;1492;31989.432274
4;P6RRRRRR10V3G6P4A1;2;6RRRS;08.01.2023 23:31:37;09.01.2023 08:28:51;112.041919;276.845275291287;i.O.;28.1178657007838;4.41961826542013;420.254825169666;77.6320827658581;251.420418951006;41.6829985143664;208.120342967306;33.9081185138739;14.9639128237037;14.9639128237037;132.585039215185;68.4817229908458;6.73267228048357;0.105760511817551;181.010040208558;2.92248134613579;543.56843886131;172.076470574191;318.838483540785;0.667773758382294;2835.76880876131;2.83576880876131;370.995063955549;1.31823400079029;982.720018469152;6138.73552786255;753.080704161257;0.244764827626648;870.986710426964;0.486679176504699;71.0307471797811;-48.929619835753;98.8655245227224;0.000561098406017424;1782.21857213572;19;1982;32140.345575
5;P6RRRRRR10V6G2P1A1;2;6RUS;08.01.2023 23:31:37;09.01.2023 08:28:45;107.008228;306.382924559141;i.O.;27.1434288306591;4.26626535346266;475.684415271748;92.6386203649053;103.987866435967;16.4812167104319;17.2302437340699;2.70718141525163;1.55480812073279;1.55480812073279;146.478815432675;108.281238367699;979.528550495033;310.872137892332;699.592883203725;19.5951165452423;201.996517251153;49.2585683163677;666.32268532122;2.09331445312537;3186.5296633764;3.1865296633764;797.930663507386;6.08796167762551;979.498246203751;5173.53851315707;665.563640785235;0.172514102092266;755.470064190094;0.247413021685918;85.1471590666026;-23.7635307741419;99.5145491395879;0.00131137358067032;762.559208710642;50;4551;31995.240533
6;P6RRRRRR10V6G2P4A1;2;6RUS;08.01.2023 23:31:37;09.01.2023 08:28:46;257.469293;326.549917279817;i.O.;33.1135920110416;5.20616686360945;535.71506671983;111.900327943806;230.228387802123;37.8278542180561;65.8089484972925;10.3742243264477;6.0316507633987;6.0316507633987;167.967248249075;222.027314579458;47.8688237537481;0.753342024787532;483.736047693841;9.501675329064;706.942319951549;302.50185106432;372.707702614917;1.17089578047135;3374.10055171332;3.37410055171332;683.612415540039;3.68739573058507;986.406040468472;7803.99325069085;807.327022814826;0.320264185175554;856.905217408146;0.437375986372127;92.1475615139017;-12.3975181261341;99.3824821854042;0.00103090111879367;970.025137978481;56;3388;31987.762469
7;P6RRRRRR10V6G6P1A1;2;6RUS;08.01.2023 23:31:37;09.01.2023 08:28:47;104.831272;275.242308081193;i.O.;33.4094349118027;5.25276484403294;532.422780210746;110.74230755372;187.825538225829;30.390517895214;81.8498266601106;12.9282544120813;6.91335837704956;6.91335837704956;157.778999747963;157.719614779697;10.269617192344;0.161328763777612;326.087278241689;5.62272597864622;509.954114489982;154.765669793233;265.230348754862;0.555497143438223;2865.45819292001;2.86545819292001;556.051559357642;2.38728206745594;987.367818268666;8398.34099921214;768.405440910694;0.262650844820518;836.072187503658;0.379732306748204;97.7799257774579;-3.48869876860239;99.1900143881562;0.00078592188625739;1272.39108298926;183;802;31910.713248
8;P6RRRRRR10V6G6P4A1;2;6RUS;08.01.2023 23:31:37;09.01.2023 08:29:01;91.742063;274.573487248264;i.O.;24.541019591801;3.85680496345689;427.781962797745;79.5446649910344;116.746312357789;18.5468452593048;34.5930978877147;5.43922562260214;2.63961866985453;2.63961866985453;133.382647373875;70.2985028313792;320.685037820826;5.51156753323542;433.963739863797;8.11424940036158;271.553694775068;68.168796822999;627.322237428024;1.31386062169159;3139.64426134217;3.13964426134217;672.381051499287;3.53704673856192;976.798973253582;4571.19066046146;642.341535721609;0.158863326727305;837.606960365765;0.383484056198584;91.1722774814904;-13.9561190143915;99.5091199175848;0.00129686898759214;771.087912169655;89;2005;31932.384744
9;P6RRRRRR5V2G2P2A1;2;6RURU;08.01.2023 23:31:37;09.01.2023 08:25:59;63.897365;2374741252.89798;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1212;31983.64115
