LfdNr;Name;Typ;Beschreibung;Startzeit;Endzeit;Dauer;Fval_Opt;Fval_Text;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Leistung_fval;Leistung_phys;Antriebskraft_fval;Antriebskraft_phys;Materialspannung_fval;Materialspannung_phys;Kondition_fval;Kondition_phys;Manip_fval;Manip_physval;MinSingVal_fval;MinSingVal_physval;Positionsfehler_fval;Positionsfehler_phys;Gelenkbereich_fval;Gelenkbereich_phys;Gelenkgrenze_fval;Gelenkgrenze_phys;AntrGeschw_fval;AntrGeschw_phys;KinLaenge_fval;KinLaenge_phys;Bauraum_fval;Bauraum_phys;Footprint_fval;Footprint_phys;CollDist_fval;CollDist_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;num_succ;num_fail;comptime_sum
;;;;;;;Zielfunktion der Optimierung;;(normiert);in kg;(normiert);in J;(normiert);in W;(normiert);in N bzw. Nm;(normiert);"Ausnutzung der Materialgrenzen; 1=max";(normiert);in Einheiten der Jacobi;(normiert);in Einh. von J;(normiert);in Einh. von J;(normiert);in µm;(normiert);in Grad;(normiert);in Grad;(normiert);in rad/s bzw. m/s;(normiert);in mm;(normiert);in m³;(normiert);in m²;(normiert);in mm;transl., normiert;in mm/N;in N/mm;;;Rechenzeit der Fitness-Auswertungen
1;P6RRRRRR10V3G2P1A1;2;6RRRS;08.01.2023 23:19:32;09.01.2023 08:17:29;56.523913;2156468188.42851;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;2201;32145.047786
2;P6RRRRRR10V3G2P4A1;2;6RRRS;08.01.2023 23:19:32;09.01.2023 08:16:48;78.297198;2058775043.05283;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;2201;32120.45972
3;P6RRRRRR10V3G6P1A1;2;6RRRS;08.01.2023 23:19:32;09.01.2023 08:17:00;181.4222;232.321686919841;i.O.;32.1990119627247;5.06212625596787;474.418405788579;92.2697714509235;154.87327276881;24.8189955870512;73.4298217857266;11.5857543120869;7.45863274530759;7.45863274530759;160.228739056831;171.192335885773;7.18723583981712;0.112901633310236;365.958104767427;6.4782634058879;607.405867714736;211.590387164823;288.068395495177;0.603329036679365;3462.8336454777;3.4628336454777;523.764528238664;2.15518184106454;986.796901505094;8035.08983528312;653.064374142289;0.164962300621597;754.108969304276;0.245898490476089;99.4692705578843;-0.833687172097912;99.7707107351335;0.00277647983210321;360.168292395804;15;1244;32075.205004
4;P6RRRRRR10V3G6P4A1;2;6RRRS;08.01.2023 23:19:33;09.01.2023 08:17:11;150.806192;225.993643634868;i.O.;28.1178657007838;4.41961826542013;420.254825169666;77.6320827658581;251.420418951006;41.6829985143664;208.120342967306;33.9081185138739;14.9639128237037;14.9639128237037;132.585039215185;68.4817229908456;6.73267228048358;0.105760511817551;181.010040208558;2.92248134613579;543.56843886131;172.076470574191;318.838483540785;0.667773758382294;2835.76880876131;2.83576880876131;370.995063955549;1.31823400079029;982.720018469152;6138.73552786255;753.080704161255;0.244764827626646;870.986710426965;0.4866791765047;71.0307471797811;-48.929619835753;98.8655239817488;0.000561098138401622;1782.21942216501;2;1513;32149.618849
5;P6RRRRRR10V6G2P1A1;2;6RUS;08.01.2023 23:19:32;09.01.2023 08:17:04;205.30444;302.970307638807;i.O.;27.5055949097079;4.32325920116372;479.557215213958;93.7754494811768;113.89301041934;18.0836143250619;19.8015641848393;3.11142589996753;1.5765977534451;1.5765977534451;129.821835184359;62.5498582212344;977.244618290034;279.647528687225;685.612263034781;18.5759792516737;192.983773988686;46.9167145049307;558.834956318427;1.75563179333914;1909.76795337958;1.90976795337958;789.730748007087;5.83346997306169;980.141281247383;5341.17428827278;667.249294687489;0.173571738050079;764.563090913309;0.257957974466227;93.1357958517751;-10.8242457861484;99.3786107244949;0.0010244778593633;976.106990366277;31;2915;32077.402943
6;P6RRRRRR10V6G2P4A1;2;6RUS;08.01.2023 23:19:32;09.01.2023 08:17:25;167.006833;285.618086441335;i.O.;32.4438068872944;5.10067783958983;530.553434232015;110.090677208198;229.343371768025;37.6690269136428;62.2283200799208;9.80605278712991;6.32857022856875;6.32857022856875;168.10967759102;223.095913873595;58.431890925528;0.920432149244389;493.154362626556;9.78721782627009;651.543845076493;246.115480302835;421.825392814541;1.32520355516379;3377.62173385665;3.37762173385665;695.614603508525;3.85926720735476;985.907154231481;7527.64663197931;788.768287147155;0.290242459266412;846.225808450925;0.405913409805493;94.6214841396833;-8.46871188884513;99.011335735559;0.00064386730147901;1553.11505601065;27;4916;32335.402013
7;P6RRRRRR10V6G6P1A1;2;6RUS;08.01.2023 23:19:34;09.01.2023 08:17:22;212.637974;241.025163825665;i.O.;35.4266468548325;5.57055598552561;548.567337655058;116.552808159232;181.751474182711;29.3512678210034;83.0522696703414;13.1203377755492;7.16311992098715;7.16311992098715;150.900029658761;125.397707335248;15.8956619901578;0.249740376476823;309.040178308304;5.27543932727251;470.552292896956;136.727562019362;285.502324179353;0.59795466948311;1800.80988275975;1.80080988275975;540.489177549043;2.27207178081246;988.22356931552;9008.77315639621;801.786439479455;0.310732581903373;854.148553636484;0.428821438649367;87.3239426671516;-20.1788879394191;99.5340442576117;0.00136624221210795;731.934638776177;170;233;32414.305008
8;P6RRRRRR10V6G6P4A1;2;6RUS;08.01.2023 23:19:34;09.01.2023 08:17:02;211.468524;273.387766736631;i.O.;25.8371267837496;4.06071614025672;444.334758770638;83.8806069693894;128.864464148574;20.5230537708363;35.133578667189;5.52437927138242;3.13634658606474;3.13634658606474;158.302506179889;160.504505384524;682.851758396872;18.384530617115;741.091144787682;23.2177357749855;206.457988880554;50.4258460010608;486.080473584485;1.01804456324431;3132.72539277903;3.13272539277903;686.571154214846;3.7286408800176;979.744871550966;5236.57455016799;700.627364965191;0.196740107917941;860.467436901444;0.448922344958461;83.6492499777088;-26.2637519776204;98.4585673278593;0.00041292452870039;2421.75005477958;78;1503;32221.850153
9;P6RRRRRR5V2G2P2A1;2;6RURU;08.01.2023 23:19:33;09.01.2023 08:16:47;73.530759;2421057209.26031;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;876;32031.725553
